dataset,reference_support_size,reference_support_seed,transform,concordance_spearman
DAVIS,15000,11,raw,0.05541492680430071
DAVIS,15000,11,center_then_correlation,0.27877729653733646
DAVIS,15000,11,z_before_center,0.2745595138211751
DAVIS,15000,11,rank_normal_before_center,0.30299812435008244
PKIS2,15000,11,raw,-0.21885627468066976
PKIS2,15000,11,center_then_correlation,0.282051747205152
PKIS2,15000,11,z_before_center,0.23042505013071238
PKIS2,15000,11,rank_normal_before_center,0.20013217014963083
PKIS1,15000,11,raw,-0.16216194937605796
PKIS1,15000,11,center_then_correlation,0.17646647158909493
PKIS1,15000,11,z_before_center,0.20705778407624648
PKIS1,15000,11,rank_normal_before_center,0.18893044128646225
DAVIS,15000,29,raw,0.06359263086626518
DAVIS,15000,29,center_then_correlation,0.2716491789577347
DAVIS,15000,29,z_before_center,0.2698998681537968
DAVIS,15000,29,rank_normal_before_center,0.29490723793542445
PKIS2,15000,29,raw,-0.20717347008192605
PKIS2,15000,29,center_then_correlation,0.2735526882695753
PKIS2,15000,29,z_before_center,0.2270171335274852
PKIS2,15000,29,rank_normal_before_center,0.19559691991719927
PKIS1,15000,29,raw,-0.1589164884287508
PKIS1,15000,29,center_then_correlation,0.16684381109842672
PKIS1,15000,29,z_before_center,0.1975068561455996
PKIS1,15000,29,rank_normal_before_center,0.17465916099148396
DAVIS,15000,47,raw,0.058375797313188184
DAVIS,15000,47,center_then_correlation,0.28561386231628183
DAVIS,15000,47,z_before_center,0.27675716650523335
DAVIS,15000,47,rank_normal_before_center,0.3062349972302579
PKIS2,15000,47,raw,-0.2173544589608446
PKIS2,15000,47,center_then_correlation,0.28778300771316484
PKIS2,15000,47,z_before_center,0.2348527501433463
PKIS2,15000,47,rank_normal_before_center,0.20689617192485737
PKIS1,15000,47,raw,-0.16529718712138114
PKIS1,15000,47,center_then_correlation,0.17611655666216153
PKIS1,15000,47,z_before_center,0.20103049945981882
PKIS1,15000,47,rank_normal_before_center,0.1838829184654481
DAVIS,15000,71,raw,0.06466035834955765
DAVIS,15000,71,center_then_correlation,0.2795171902181131
DAVIS,15000,71,z_before_center,0.27687119565393453
DAVIS,15000,71,rank_normal_before_center,0.3057140913464186
PKIS2,15000,71,raw,-0.21218297791009189
PKIS2,15000,71,center_then_correlation,0.2872789470444746
PKIS2,15000,71,z_before_center,0.2379496781592067
PKIS2,15000,71,rank_normal_before_center,0.21158950802253368
PKIS1,15000,71,raw,-0.1600694581129963
PKIS1,15000,71,center_then_correlation,0.17306704807393705
PKIS1,15000,71,z_before_center,0.20598529482519565
PKIS1,15000,71,rank_normal_before_center,0.18555201266692037
DAVIS,15000,97,raw,0.06665716423760823
DAVIS,15000,97,center_then_correlation,0.28300414975396265
DAVIS,15000,97,z_before_center,0.2739517902900292
DAVIS,15000,97,rank_normal_before_center,0.302932039275267
PKIS2,15000,97,raw,-0.20197866488712088
PKIS2,15000,97,center_then_correlation,0.28522512658207344
PKIS2,15000,97,z_before_center,0.23392626331014957
PKIS2,15000,97,rank_normal_before_center,0.21039090617539108
PKIS1,15000,97,raw,-0.15298892956649918
PKIS1,15000,97,center_then_correlation,0.1754517183009881
PKIS1,15000,97,z_before_center,0.20419023125002733
PKIS1,15000,97,rank_normal_before_center,0.18331780585845067
