analysis,dataset,support,transform,deleted_target,estimate
geometry_concordance,DAVIS,full_experimental_panel,raw,ABL1,0.07325556474082241
geometry_concordance,DAVIS,full_experimental_panel,raw,AKT1,0.018936521058317696
geometry_concordance,DAVIS,full_experimental_panel,raw,AKT2,0.032210543811535826
geometry_concordance,DAVIS,full_experimental_panel,raw,CDK2,0.0610172901713271
geometry_concordance,DAVIS,full_experimental_panel,raw,CSF1R,0.10040546392158407
geometry_concordance,DAVIS,full_experimental_panel,raw,EGFR,0.09339316878583895
geometry_concordance,DAVIS,full_experimental_panel,raw,FGFR1,0.1385356935095155
geometry_concordance,DAVIS,full_experimental_panel,raw,IGF1R,0.07438578995481725
geometry_concordance,DAVIS,full_experimental_panel,raw,JAK2,0.05334365582367788
geometry_concordance,DAVIS,full_experimental_panel,raw,KDR,0.03800513500155275
geometry_concordance,DAVIS,full_experimental_panel,raw,KIT,0.07815437371788984
geometry_concordance,DAVIS,full_experimental_panel,raw,LCK,0.08895274836305424
geometry_concordance,DAVIS,full_experimental_panel,raw,MAP2K1,0.06731575885612812
geometry_concordance,DAVIS,full_experimental_panel,raw,MAPK1,0.04950333950058392
geometry_concordance,DAVIS,full_experimental_panel,raw,MAPK14,0.04561053593844997
geometry_concordance,DAVIS,full_experimental_panel,raw,MAPKAPK2,0.024279721992590556
geometry_concordance,DAVIS,full_experimental_panel,raw,MET,0.07751752855087107
geometry_concordance,DAVIS,full_experimental_panel,raw,PLK1,0.054612097433811416
geometry_concordance,DAVIS,full_experimental_panel,raw,PTK2,0.050220665100797375
geometry_concordance,DAVIS,full_experimental_panel,raw,ROCK1,0.00357875491521124
geometry_concordance,DAVIS,full_experimental_panel,raw,SRC,0.08567929422159239
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,ABL1,0.25039474777694676
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,AKT1,0.24564640221846065
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,AKT2,0.2771142515975804
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,CDK2,0.24888836401649853
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,CSF1R,0.303865247761638
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,EGFR,0.2845744378398002
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,FGFR1,0.29954729756327997
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,IGF1R,0.2757478338079055
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,JAK2,0.30110266941349884
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,KDR,0.24047640917301982
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,KIT,0.23293049377370129
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,LCK,0.35307903266018453
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,MAP2K1,0.2931211099301483
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,MAPK1,0.27132490913146745
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,MAPK14,0.31021970283474837
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,MAPKAPK2,0.2609481819732578
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,MET,0.32363369155873983
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,PLK1,0.25764148591373726
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,PTK2,0.28195182546243447
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,ROCK1,0.2524452492487764
geometry_concordance,DAVIS,full_experimental_panel,center_then_correlation,SRC,0.3517441072139337
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,ABL1,0.2306910382413276
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,AKT1,0.24164687460361203
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,AKT2,0.26995849134179256
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,CDK2,0.2591846107415135
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,CSF1R,0.28982141216916646
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,EGFR,0.2807043787479169
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,FGFR1,0.29512612246147657
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,IGF1R,0.2722539332624756
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,JAK2,0.27763562483871107
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,KDR,0.24224347955403344
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,KIT,0.22728986515153507
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,LCK,0.3531070258543392
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,MAP2K1,0.2925647451963242
geometry_concordance,DAVIS,full_experimental_panel,z_before_center,MAPK1,0.2609044426073911
