dataset,transformation,mw_decile,ligands,lower_mw_inclusive,upper_mw_inclusive,median_molecular_weight,rows_excluded_after_equal_n_binning,target_correlation_pr,mean_signed_target_correlation,mean_absolute_target_correlation
Docking-44,raw,1,1265,16.042999999999999,168.14799999999997,142.589,1,1.148677388946044,0.93053011911389893,0.93053011911389893
Docking-44,raw,2,1265,168.148,204.18499999999997,187.28299999999996,1,1.2868886613644759,0.87098636840307131,0.87098636840307131
Docking-44,raw,3,1265,204.18900000000002,231.339,218.29999999999995,1,1.3553929216331244,0.83936259326161311,0.83936259326161311
Docking-44,raw,4,1265,231.34,258.27799999999996,245.32599999999999,1,1.4414294923639213,0.80349344327671091,0.80574926387947554
Docking-44,raw,5,1265,258.28399999999999,282.41199999999998,270.35399999999998,1,1.547875041218403,0.77013348888312383,0.77282656311960474
Docking-44,raw,6,1265,282.43200000000002,306.45300000000009,294.35800000000012,1,1.6730466309697567,0.73441229179107148,0.73749103861112231
Docking-44,raw,7,1265,306.45300000000009,332.44400000000013,318.51000000000005,1,1.8680180475063803,0.68937817156567482,0.68942598573870595
Docking-44,raw,8,1265,332.44500000000016,368.27600000000007,349.33200000000011,1,2.1863620855404884,0.61816063688743361,0.61995062897944286
Docking-44,raw,9,1265,368.35899999999998,439.51200000000034,394.55200000000025,1,2.2854335525588465,0.59462090489320063,0.59710911248634013
Docking-44,raw,10,1265,439.53100000000023,1486.1880000000001,555.875,1,3.5488056806939658,0.43511415876529652,0.4437276072903158
Docking-44,row_centered_residual,1,1265,16.042999999999999,168.14799999999997,142.589,1,12.813538374159481,-0.018229077436671497,0.19045368777085686
Docking-44,row_centered_residual,2,1265,168.148,204.18499999999997,187.28299999999996,1,15.960574788938617,-0.0097821089842767966,0.1536946393441643
Docking-44,row_centered_residual,3,1265,204.18900000000002,231.339,218.29999999999995,1,18.324628588932985,-0.0024420143600569384,0.14124399899973389
Docking-44,row_centered_residual,4,1265,231.34,258.27799999999996,245.32599999999999,1,17.788670649367926,0.0014885841374852407,0.14973680687520322
Docking-44,row_centered_residual,5,1265,258.28399999999999,282.41199999999998,270.35399999999998,1,17.922620192171063,0.00077533043651212415,0.15018945158710292
Docking-44,row_centered_residual,6,1265,282.43200000000002,306.45300000000009,294.35800000000012,1,16.233816881604483,0.0014229185690904094,0.16213472762377326
Docking-44,row_centered_residual,7,1265,306.45300000000009,332.44400000000013,318.51000000000005,1,15.48416697330293,0.00084692574051380197,0.16767419718659651
Docking-44,row_centered_residual,8,1265,332.44500000000016,368.27600000000007,349.33200000000011,1,13.218470258230443,0.0057466199873918893,0.18766511707452829
Docking-44,row_centered_residual,9,1265,368.35899999999998,439.51200000000034,394.55200000000025,1,11.850138812263612,0.011661530832252211,0.20690458188549687
Docking-44,row_centered_residual,10,1265,439.53100000000023,1486.1880000000001,555.875,1,11.342921311879712,-0.0045312694267093546,0.21950531368824458
DOCKSTRING-58,raw,1,1500,171.19900000000001,276.32100000000003,248.54300000000001,0,1.5369212044717879,0.79925107392647665,0.79925107392647665
DOCKSTRING-58,raw,2,1500,276.33599999999996,311.34500000000003,295.34199999999998,0,2.1100936426953005,0.66826075385055128,0.66826075385055128
DOCKSTRING-58,raw,3,1500,311.3490000000001,338.40000000000009,325.36800000000005,0,2.4645510389581964,0.60738260038730729,0.60738260038730729
DOCKSTRING-58,raw,4,1500,338.40700000000004,361.47000000000008,349.76650000000006,0,2.5978350137382251,0.58829784720800882,0.58829784720800882
DOCKSTRING-58,raw,5,1500,361.47000000000008,385.3950000000001,373.46900000000011,0,2.725697781024234,0.57166563212185961,0.57166563212185961
DOCKSTRING-58,raw,6,1500,385.39500000000015,409.48600000000005,396.47950000000014,0,2.7611795267639589,0.56973337654225997,0.5697356645187357
DOCKSTRING-58,raw,7,1500,409.48600000000016,434.83500000000015,421.50950000000012,0,2.834574832742589,0.56437962814317744,0.5644112385733342
DOCKSTRING-58,raw,8,1500,434.86100000000027,465.95800000000014,449.49250000000023,0,3.0733614137718459,0.53939800200226384,0.5395774344962383
DOCKSTRING-58,raw,9,1500,465.95900000000017,514.67700000000025,486.47550000000024,0,2.9388869759875029,0.55077475559072209,0.55196976860322056
DOCKSTRING-58,raw,10,1500,515.03900000000021,990.1129999999996,562.74000000000024,0,3.0285404871328705,0.53762565460303058,0.540471377177831
DOCKSTRING-58,row_centered_residual,1,1500,171.19900000000001,276.32100000000003,248.54300000000001,0,19.47617340756862,-0.011877506413262951,0.15036802725749635
DOCKSTRING-58,row_centered_residual,2,1500,276.33599999999996,311.34500000000003,295.34199999999998,0,18.435612375207139,-0.010781257973751851,0.15558759288174581
DOCKSTRING-58,row_centered_residual,3,1500,311.3490000000001,338.40000000000009,325.36800000000005,0,19.472537803034768,-0.010004390305560303,0.15047460815482888
DOCKSTRING-58,row_centered_residual,4,1500,338.40700000000004,361.47000000000008,349.76650000000006,0,20.254654994759505,-0.0094282720979405842,0.14661547111127163
DOCKSTRING-58,row_centered_residual,5,1500,361.47000000000008,385.3950000000001,373.46900000000011,0,20.783240159806041,-0.0087430757466979269,0.1439737089879731
DOCKSTRING-58,row_centered_residual,6,1500,385.39500000000015,409.48600000000005,396.47950000000014,0,21.042293357080773,-0.0087133927196282324,0.14259190954387838
DOCKSTRING-58,row_centered_residual,7,1500,409.48600000000016,434.83500000000015,421.50950000000012,0,22.332933545856253,-0.0099206659114187239,0.13420953657476717
DOCKSTRING-58,row_centered_residual,8,1500,434.86100000000027,465.95800000000014,449.49250000000023,0,22.877338694545063,-0.010383041135264422,0.12919858708568621
DOCKSTRING-58,row_centered_residual,9,1500,465.95900000000017,514.67700000000025,486.47550000000024,0,24.521254932615516,-0.0098967990276821478,0.12159730570991444
DOCKSTRING-58,row_centered_residual,10,1500,515.03900000000021,990.1129999999996,562.74000000000024,0,23.047466293341365,-0.0079856624547805545,0.12684712569779644
