dataset,transformation,first_mw_decile,second_mw_decile,decile_separation,first_median_molecular_weight,second_median_molecular_weight,median_mw_separation,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr
Docking-44,raw,1,2,1,142.589,187.28299999999996,44.69399999999996,0.80179678325598103,0.19820321674401897,0.10481671853662838,1,1.148677388946044,1.2868886613644759
Docking-44,raw,1,3,2,142.589,218.29999999999995,75.710999999999956,0.63315534744527147,0.36684465255472853,0.16605391964656277,1,1.148677388946044,1.3553929216331244
Docking-44,raw,1,4,3,142.589,245.32599999999999,102.73699999999999,0.50864596386071781,0.49135403613928219,0.21835936441722739,0.97357293868921779,1.148677388946044,1.4414294923639213
Docking-44,raw,1,5,4,142.589,270.35399999999998,127.76499999999999,0.39719879617229875,0.6028012038277013,0.24706563051211719,0.97040169133192389,1.148677388946044,1.547875041218403
Docking-44,raw,1,6,5,142.589,294.35800000000012,151.76900000000012,0.32868970429934058,0.67131029570065937,0.28017847735412371,0.96723044397462998,1.148677388946044,1.6730466309697567
Docking-44,raw,1,7,6,142.589,318.51000000000005,175.92100000000005,0.28582902135614491,0.71417097864385504,0.31556856125859206,0.9989429175475687,1.148677388946044,1.8680180475063803
Docking-44,raw,1,8,7,142.589,349.33200000000011,206.74300000000011,0.23293070967243995,0.76706929032755999,0.39090918125144314,0.98731501057082449,1.148677388946044,2.1863620855404884
Docking-44,raw,1,9,8,142.589,394.55200000000025,251.96300000000025,0.22472003465102844,0.77527996534897159,0.4205011855489228,0.98625792811839319,1.148677388946044,2.2854335525588465
Docking-44,raw,1,10,9,142.589,555.875,413.286,0.17475281499740619,0.82524718500259375,0.56233889192891673,0.93763213530655387,1.148677388946044,3.5488056806939658
Docking-44,raw,2,3,1,187.28299999999996,218.29999999999995,31.016999999999996,0.88244446521011433,0.11755553478988567,0.069418186298734724,1,1.2868886613644759,1.3553929216331244
Docking-44,raw,2,4,2,187.28299999999996,245.32599999999999,58.043000000000035,0.71604206472701826,0.28395793527298174,0.12578593635924795,0.97357293868921779,1.2868886613644759,1.4414294923639213
Docking-44,raw,2,5,3,187.28299999999996,270.35399999999998,83.071000000000026,0.56441579207228376,0.43558420792771624,0.16171899781605756,0.97040169133192389,1.2868886613644759,1.547875041218403
Docking-44,raw,2,6,4,187.28299999999996,294.35800000000012,107.07500000000016,0.41827388168096891,0.58172611831903109,0.20195697393556167,0.96723044397462998,1.2868886613644759,1.6730466309697567
Docking-44,raw,2,7,5,187.28299999999996,318.51000000000005,131.22700000000009,0.33655678898673907,0.66344321101326087,0.24818961102335413,0.9989429175475687,1.2868886613644759,1.8680180475063803
Docking-44,raw,2,8,6,187.28299999999996,349.33200000000011,162.04900000000015,0.26971096349058576,0.73028903650941424,0.32904977071263736,0.98731501057082449,1.2868886613644759,2.1863620855404884
Docking-44,raw,2,9,7,187.28299999999996,394.55200000000025,207.26900000000029,0.22294690157954811,0.77705309842045189,0.36232876246706808,0.98625792811839319,1.2868886613644759,2.2854335525588465
Docking-44,raw,2,10,8,187.28299999999996,555.875,368.59200000000004,0.13179600046818432,0.86820399953181571,0.51103947561620622,0.93763213530655387,1.2868886613644759,3.5488056806939658
Docking-44,raw,3,4,1,218.29999999999995,245.32599999999999,27.026000000000039,0.91877498989799755,0.081225010102002448,0.059756463778718329,0.97357293868921779,1.3553929216331244,1.4414294923639213
Docking-44,raw,3,5,2,218.29999999999995,270.35399999999998,52.05400000000003,0.77744724217551486,0.22255275782448514,0.10480021936879261,0.97040169133192389,1.3553929216331244,1.547875041218403
Docking-44,raw,3,6,3,218.29999999999995,294.35800000000012,76.058000000000163,0.60282902132070859,0.39717097867929141,0.15257295813239627,0.96723044397462998,1.3553929216331244,1.6730466309697567
Docking-44,raw,3,7,4,218.29999999999995,318.51000000000005,100.21000000000009,0.49763002401198908,0.50236997598801092,0.21003033638981303,0.9989429175475687,1.3553929216331244,1.8680180475063803
Docking-44,raw,3,8,5,218.29999999999995,349.33200000000011,131.03200000000015,0.41870984735354466,0.58129015264645534,0.29472242573673091,0.98731501057082449,1.3553929216331244,2.1863620855404884
Docking-44,raw,3,9,6,218.29999999999995,394.55200000000025,176.25200000000029,0.33637089017359639,0.66362910982640355,0.33123909081562242,0.98625792811839319,1.3553929216331244,2.2854335525588465
Docking-44,raw,3,10,7,218.29999999999995,555.875,337.57500000000005,0.18080038758804012,0.81919961241195982,0.48744817586443667,0.93763213530655387,1.3553929216331244,3.5488056806939658
Docking-44,raw,4,5,1,245.32599999999999,270.35399999999998,25.027999999999992,0.92830447631655855,0.071695523683441453,0.055021824772936455,0.9968287526427061,1.4414294923639213,1.547875041218403
Docking-44,raw,4,6,2,245.32599999999999,294.35800000000012,49.032000000000124,0.79774900846583752,0.20225099153416248,0.1065933619827199,0.9936575052854123,1.4414294923639213,1.6730466309697567
Docking-44,raw,4,7,3,245.32599999999999,318.51000000000005,73.184000000000054,0.6999205199298516,0.3000794800701484,0.17229493879571528,0.97251585623678649,1.4414294923639213,1.8680180475063803
Docking-44,raw,4,8,4,245.32599999999999,349.33200000000011,104.00600000000011,0.61860971146597721,0.38139028853402279,0.25809801932454457,0.96511627906976749,1.4414294923639213,2.1863620855404884
Docking-44,raw,4,9,5,245.32599999999999,394.55200000000025,149.22600000000025,0.52227365800706327,0.47772634199293673,0.29752124024543686,0.96617336152219868,1.4414294923639213,2.2854335525588465
Docking-44,raw,4,10,6,245.32599999999999,555.875,310.54899999999998,0.32088627737555803,0.67911372262444192,0.45825513269719442,0.91120507399577166,1.4414294923639213,3.5488056806939658
Docking-44,raw,5,6,1,270.35399999999998,294.35800000000012,24.004000000000133,0.93267765553318449,0.067322344466815509,0.058425532644067295,0.9968287526427061,1.547875041218403,1.6730466309697567
Docking-44,raw,5,7,2,270.35399999999998,318.51000000000005,48.156000000000063,0.86765145552994571,0.13234854447005429,0.12428808386940839,0.96934460887949259,1.547875041218403,1.8680180475063803
Docking-44,raw,5,8,3,270.35399999999998,349.33200000000011,78.978000000000122,0.80340481153329546,0.19659518846670454,0.21117902461106045,0.96194503171247359,1.547875041218403,2.1863620855404884
Docking-44,raw,5,9,4,270.35399999999998,394.55200000000025,124.19800000000026,0.71355223963951642,0.28644776036048358,0.25349375685827619,0.96300211416490489,1.547875041218403,2.2854335525588465
Docking-44,raw,5,10,5,270.35399999999998,555.875,285.52100000000002,0.50004931669429098,0.49995068330570902,0.42025857688055357,0.90803382663847776,1.547875041218403,3.5488056806939658
Docking-44,raw,6,7,1,294.35800000000012,318.51000000000005,24.15199999999993,0.97592791094915288,0.024072089050847123,0.075016653531222041,0.96617336152219868,1.6730466309697567,1.8680180475063803
Docking-44,raw,6,8,2,294.35800000000012,349.33200000000011,54.97399999999999,0.9344539636968604,0.065546036303139599,0.16207849751515677,0.95877378435517968,1.6730466309697567,2.1863620855404884
Docking-44,raw,6,9,3,294.35800000000012,394.55200000000025,100.19400000000013,0.86600938005864203,0.13399061994135797,0.20797249799735118,0.95983086680761098,1.6730466309697567,2.2854335525588465
Docking-44,raw,6,10,4,294.35800000000012,555.875,261.51699999999988,0.65448911792076248,0.34551088207923752,0.38072160433300289,0.90486257928118397,1.6730466309697567,3.5488056806939658
Docking-44,raw,7,8,1,318.51000000000005,349.33200000000011,30.82200000000006,0.97775027212418231,0.022249727875817693,0.095526839433088553,0.98837209302325579,1.8680180475063803,2.1863620855404884
Docking-44,raw,7,9,2,318.51000000000005,394.55200000000025,76.042000000000201,0.93032581938551806,0.06967418061448194,0.14528611066706804,0.98731501057082449,1.8680180475063803,2.2854335525588465
Docking-44,raw,7,10,3,318.51000000000005,555.875,237.36499999999995,0.73107843671926076,0.26892156328073924,0.32682406784899193,0.93657505285412257,1.8680180475063803,3.5488056806939658
Docking-44,raw,8,9,1,349.33200000000011,394.55200000000025,45.220000000000141,0.97160578834899192,0.028394211651008083,0.070206688063925479,0.992600422832981,2.1863620855404884,2.2854335525588465
Docking-44,raw,8,10,2,349.33200000000011,555.875,206.54299999999989,0.78490242952314115,0.21509757047685885,0.2614040881756976,0.92494714587737847,2.1863620855404884,3.5488056806939658
Docking-44,raw,9,10,1,394.55200000000025,555.875,161.32299999999975,0.85310424617907232,0.14689575382092768,0.22412828074833901,0.92389006342494717,2.2854335525588465,3.5488056806939658
Docking-44,row_centered_residual,1,2,1,142.589,187.28299999999996,44.69399999999996,0.73451901765057126,0.26548098234942874,0.15068781528997963,0.75898520084566601,12.813538374159481,15.960574788938617
Docking-44,row_centered_residual,1,3,2,142.589,218.29999999999995,75.710999999999956,0.54890257509544838,0.45109742490455162,0.1912577267476489,0.66384778012684986,12.813538374159481,18.324628588932985
Docking-44,row_centered_residual,1,4,3,142.589,245.32599999999999,102.73699999999999,0.40657273142231759,0.59342726857768247,0.22454544804749815,0.61733615221987315,12.813538374159481,17.788670649367926
Docking-44,row_centered_residual,1,5,4,142.589,270.35399999999998,127.76499999999999,0.33601532237125664,0.66398467762874336,0.24149239357294255,0.59619450317124734,12.813538374159481,17.922620192171063
Docking-44,row_centered_residual,1,6,5,142.589,294.35800000000012,151.76900000000012,0.28085083115657011,0.71914916884342994,0.26095689046448239,0.58139534883720934,12.813538374159481,16.233816881604483
Docking-44,row_centered_residual,1,7,6,142.589,318.51000000000005,175.92100000000005,0.24035591791295235,0.75964408208704759,0.27237619060062102,0.55813953488372092,12.813538374159481,15.48416697330293
Docking-44,row_centered_residual,1,8,7,142.589,349.33200000000011,206.74300000000011,0.17632672520813772,0.82367327479186225,0.30075982202082346,0.55496828752642702,12.813538374159481,13.218470258230443
Docking-44,row_centered_residual,1,9,8,142.589,394.55200000000025,251.96300000000025,0.16431540813063858,0.83568459186936139,0.31467326487839886,0.55496828752642702,12.813538374159481,11.850138812263612
Docking-44,row_centered_residual,1,10,9,142.589,555.875,413.286,0.20998453099334705,0.79001546900665298,0.30835239509639129,0.56871035940803383,12.813538374159481,11.342921311879712
Docking-44,row_centered_residual,2,3,1,187.28299999999996,218.29999999999995,31.016999999999996,0.85781285120692297,0.14218714879307703,0.091722983243576653,0.81395348837209303,15.960574788938617,18.324628588932985
Docking-44,row_centered_residual,2,4,2,187.28299999999996,245.32599999999999,58.043000000000035,0.66879781264496752,0.33120218735503248,0.14651055288909726,0.72727272727272729,15.960574788938617,17.788670649367926
Docking-44,row_centered_residual,2,5,3,187.28299999999996,270.35399999999998,83.071000000000026,0.54914759582621364,0.45085240417378636,0.17724154620738389,0.67864693446088797,15.960574788938617,17.922620192171063
Docking-44,row_centered_residual,2,6,4,187.28299999999996,294.35800000000012,107.07500000000016,0.46587465125811423,0.53412534874188577,0.20522311540560984,0.66596194503171247,15.960574788938617,16.233816881604483
Docking-44,row_centered_residual,2,7,5,187.28299999999996,318.51000000000005,131.22700000000009,0.37641233221400699,0.62358766778599306,0.22689434347600326,0.60253699788583515,15.960574788938617,15.48416697330293
Docking-44,row_centered_residual,2,8,6,187.28299999999996,349.33200000000011,162.04900000000015,0.26693121279698229,0.73306878720301771,0.26426514365043785,0.59513742071881603,15.960574788938617,13.218470258230443
Docking-44,row_centered_residual,2,9,7,187.28299999999996,394.55200000000025,207.26900000000029,0.19812704996762359,0.80187295003237646,0.28905873699773421,0.55708245243128962,15.960574788938617,11.850138812263612
Docking-44,row_centered_residual,2,10,8,187.28299999999996,555.875,368.59200000000004,0.1531942366548589,0.84680576334514113,0.29752593546709177,0.55391120507399583,15.960574788938617,11.342921311879712
Docking-44,row_centered_residual,3,4,1,218.29999999999995,245.32599999999999,27.026000000000039,0.88542669890377435,0.11457330109622565,0.082623005942267652,0.86257928118393234,18.324628588932985,17.788670649367926
Docking-44,row_centered_residual,3,5,2,218.29999999999995,270.35399999999998,52.05400000000003,0.76378392746360124,0.23621607253639876,0.12177912451718866,0.79704016913319242,18.324628588932985,17.922620192171063
Docking-44,row_centered_residual,3,6,3,218.29999999999995,294.35800000000012,76.058000000000163,0.64361958667599484,0.35638041332400516,0.16164501198577322,0.75898520084566601,18.324628588932985,16.233816881604483
Docking-44,row_centered_residual,3,7,4,218.29999999999995,318.51000000000005,100.21000000000009,0.50933739688436275,0.49066260311563725,0.19304814787034855,0.67653276955602537,18.324628588932985,15.48416697330293
Docking-44,row_centered_residual,3,8,5,218.29999999999995,349.33200000000011,131.03200000000015,0.37046181255311678,0.62953818744688328,0.23559615811626289,0.62684989429175475,18.324628588932985,13.218470258230443
