dataset,calibration_ligands,repetition,panel_targets_k,reference_scope,cluster_adjusted_rand_index,sample_vs_fixed_full_source_panel_medoid_overlap,sample_vs_fixed_full_source_panel_medoid_jaccard,fixed_full_source_panel_mean_nearest_distance_on_reference_map,sample_map_medoids_mean_nearest_distance_on_reference_map,sample_minus_fixed_full_source_panel_mean_nearest_distance_on_reference_map,sample_map_medoids_maximum_nearest_distance_on_reference_map,random_panels_on_reference_map,fraction_random_panels_with_mean_coverage_no_worse_than_sample,random_mean_nearest_distance_median,random_mean_nearest_distance_q025,random_mean_nearest_distance_q975
Docking-44,200,0,6,full_source_map_including_calibration_rows,0.80994113941921331,2,0.20000000000000001,0.43214781831379373,0.4491178878887398,0.016970069574946067,0.77228973156250647,10000,0.0035000000000000001,0.49302754320570502,0.45780395109194238,0.54568422458736376
Docking-44,200,0,6,row_disjoint_complement_map,0.78939423557264177,2,0.20000000000000001,0.43209292492153517,0.44967097732534156,0.017578052403806388,0.77015153727815833,200,0.0050000000000000001,0.49244812129018939,0.45803527987019227,0.53967472605500355
Docking-44,200,0,8,full_source_map_including_calibration_rows,0.82154731307033879,4,0.33333333333333331,0.39776751007762828,0.41368390068046162,0.015916390602833341,0.76335687371682004,10000,0.0016000000000000001,0.45146929174025086,0.42406608569847343,0.49102562770282659
Docking-44,200,0,8,row_disjoint_complement_map,0.8034599200566509,4,0.33333333333333331,0.39771432249682442,0.4142875461950839,0.016573223698259476,0.76580965873702733,200,0,0.45172645755366669,0.42500133182899508,0.49107924311430123
Docking-44,200,0,10,full_source_map_including_calibration_rows,0.66135505271109063,5,0.33333333333333331,0.36509410302902534,0.37861174630628125,0.013517643277255909,0.75371891199763885,10000,0.00040000000000000002,0.4161252495631686,0.39268031268843251,0.44809726808011024
Docking-44,200,0,10,row_disjoint_complement_map,0.65549430356486582,5,0.33333333333333331,0.36519965815214978,0.37895927174081889,0.013759613588669117,0.75121254911685142,200,0,0.41396007065002693,0.39243584740486431,0.44936923208174334
Docking-44,200,1,6,full_source_map_including_calibration_rows,0.87532611443725428,2,0.20000000000000001,0.43214781831379373,0.44627471310862127,0.014126894794827538,0.79144679703446652,10000,0.001,0.49302754320570502,0.45780395109194238,0.54568422458736376
Docking-44,200,1,6,row_disjoint_complement_map,0.86005992436834655,2,0.20000000000000001,0.4323688442812198,0.44680672037380664,0.014437876092586843,0.79065793159941955,200,0,0.49196243954842478,0.45766392298378161,0.53891366353234949
Docking-44,200,1,8,full_source_map_including_calibration_rows,0.92103945245117136,4,0.33333333333333331,0.39776751007762828,0.41353927219989617,0.015771762122267885,0.79144679703446652,10000,0.0016000000000000001,0.45146929174025086,0.42406608569847343,0.49102562770282659
Docking-44,200,1,8,row_disjoint_complement_map,0.89792214260022685,4,0.33333333333333331,0.39793974801721038,0.41381297921414806,0.015873231196937676,0.79065793159941955,200,0,0.45187880472455666,0.42508718238572291,0.49085195021725186
Docking-44,200,1,10,full_source_map_including_calibration_rows,0.64341985239240407,5,0.33333333333333331,0.36509410302902534,0.38385020023390221,0.018756097204876865,0.79144679703446652,10000,0.002,0.4161252495631686,0.39268031268843251,0.44809726808011024
Docking-44,200,1,10,row_disjoint_complement_map,0.58312781699124072,5,0.33333333333333331,0.36499742697411186,0.38411816375074431,0.019120736776632452,0.79065793159941955,200,0.01,0.41357675416854606,0.39242488117940705,0.44927213359577001
Docking-44,200,2,6,full_source_map_including_calibration_rows,0.82251777115340519,3,0.33333333333333331,0.43214781831379373,0.4421459371503334,0.0099981188365396712,0.8013062475385585,10000,0.00040000000000000002,0.49302754320570502,0.45780395109194238,0.54568422458736376
Docking-44,200,2,6,row_disjoint_complement_map,0.82251777115340519,3,0.33333333333333331,0.43170489713684984,0.44206612019487307,0.010361223058023228,0.80191569956946629,200,0,0.49203706733633185,0.45746782181966589,0.53906568464666171
Docking-44,200,2,8,full_source_map_including_calibration_rows,0.87397029109398938,4,0.33333333333333331,0.39776751007762828,0.40862408188784555,0.010856571810217264,0.78464214215580474,10000,0.0001,0.45146929174025086,0.42406608569847343,0.49102562770282659
Docking-44,200,2,8,row_disjoint_complement_map,0.87397029109398938,4,0.33333333333333331,0.39732226839471524,0.40854722043764952,0.011224952042934278,0.78599332967465962,200,0,0.45144904920475043,0.42451564513899026,0.48991596289523659
Docking-44,200,2,10,full_source_map_including_calibration_rows,0.80018728042074727,6,0.42857142857142855,0.36509410302902534,0.37521711059659996,0.010123007567574616,0.78464214215580474,10000,0,0.4161252495631686,0.39268031268843251,0.44809726808011024
Docking-44,200,2,10,row_disjoint_complement_map,0.80018728042074727,6,0.42857142857142855,0.36476055781362821,0.37517032176026938,0.010409763946641171,0.78599332967465962,200,0,0.41354294877108544,0.3920802129908883,0.4489264012140412
Docking-44,200,3,6,full_source_map_including_calibration_rows,0.83665188158988135,2,0.20000000000000001,0.43214781831379373,0.44532565183749462,0.013177833523700888,0.77999122035591717,10000,0.00059999999999999995,0.49302754320570502,0.45780395109194238,0.54568422458736376
Docking-44,200,3,6,row_disjoint_complement_map,0.81622020959312669,2,0.20000000000000001,0.43157211535557655,0.44578473773665733,0.014212622381080786,0.7815602101290624,200,0,0.49189295072102157,0.45742256089358824,0.53978096735678716
Docking-44,200,3,8,full_source_map_including_calibration_rows,0.48531011969532101,2,0.14285714285714285,0.39776751007762828,0.41806273712846614,0.020295227050837861,0.77999122035591717,10000,0.0061999999999999998,0.45146929174025086,0.42406608569847343,0.49102562770282659
Docking-44,200,3,8,row_disjoint_complement_map,0.48531011969532101,2,0.14285714285714285,0.39733159407666824,0.41835887560234331,0.021027281525675068,0.7815602101290624,200,0.0050000000000000001,0.45098765548114395,0.42414336152315329,0.49114204975776105
Docking-44,200,3,10,full_source_map_including_calibration_rows,0.54727684442334779,4,0.25,0.36509410302902534,0.38742768095117958,0.022333577922154235,0.77633851181124758,10000,0.0055999999999999999,0.4161252495631686,0.39268031268843251,0.44809726808011024
Docking-44,200,3,10,row_disjoint_complement_map,0.54727684442334779,4,0.25,0.36486693942127407,0.38784871996343145,0.022981780542157382,0.77849500185310971,200,0.014999999999999999,0.41336245951384476,0.39289694399593172,0.44932198432142861
Docking-44,200,4,6,full_source_map_including_calibration_rows,0.77355151397786992,3,0.33333333333333331,0.43214781831379373,0.44399664597514188,0.011848827661348149,0.8013062475385585,10000,0.00040000000000000002,0.49302754320570502,0.45780395109194238,0.54568422458736376
