fold,selection_rank,target_index,target
1,1,25,CDK2
1,2,24,AR
1,3,6,MAOB
1,4,34,PTGS2
1,5,20,PGR
1,6,28,NR3C1
1,7,11,FGFR1
1,8,9,ESR2
1,9,39,ACHE
1,10,55,THRB
1,11,44,HSD11B1
1,12,12,HMGCR
1,13,27,ESR1
1,14,13,HSP90AA1
1,15,57,KDR
1,16,52,MAPK14
1,17,17,NOS1
1,18,29,IGF1R
1,19,1,ABL1
1,20,35,PPARA
2,1,33,MMP13
2,2,6,MAOB
2,3,34,PTGS2
2,4,24,AR
2,5,28,NR3C1
2,6,20,PGR
2,7,39,ACHE
2,8,9,ESR2
2,9,12,HMGCR
2,10,55,THRB
2,11,44,HSD11B1
2,12,26,CSF1R
2,13,27,ESR1
2,14,1,ABL1
2,15,13,HSP90AA1
2,16,29,IGF1R
2,17,17,NOS1
2,18,57,KDR
2,19,35,PPARA
2,20,52,MAPK14
3,1,12,HMGCR
3,2,24,AR
3,3,28,NR3C1
3,4,34,PTGS2
3,5,6,MAOB
3,6,20,PGR
3,7,9,ESR2
3,8,11,FGFR1
3,9,39,ACHE
3,10,55,THRB
3,11,44,HSD11B1
3,12,26,CSF1R
3,13,27,ESR1
3,14,17,NOS1
3,15,13,HSP90AA1
3,16,57,KDR
3,17,29,IGF1R
3,18,35,PPARA
3,19,1,ABL1
3,20,8,DHFR
4,1,41,CA2
4,2,24,AR
4,3,6,MAOB
4,4,34,PTGS2
4,5,28,NR3C1
4,6,20,PGR
4,7,9,ESR2
4,8,11,FGFR1
4,9,39,ACHE
4,10,55,THRB
4,11,44,HSD11B1
4,12,29,IGF1R
4,13,27,ESR1
4,14,26,CSF1R
4,15,57,KDR
4,16,13,HSP90AA1
4,17,12,HMGCR
4,18,17,NOS1
4,19,35,PPARA
4,20,1,ABL1
5,1,20,PGR
5,2,7,CASP3
5,3,55,THRB
5,4,34,PTGS2
5,5,24,AR
5,6,6,MAOB
5,7,9,ESR2
5,8,11,FGFR1
5,9,39,ACHE
5,10,28,NR3C1
5,11,44,HSD11B1
5,12,26,CSF1R
5,13,27,ESR1
5,14,57,KDR
5,15,13,HSP90AA1
5,16,17,NOS1
5,17,29,IGF1R
5,18,35,PPARA
5,19,1,ABL1
5,20,12,HMGCR
