fold,k,method,random_repeat,train_ligands,test_ligands,train_scaffold_groups,test_scaffold_groups,held_out_target_r2,held_out_target_rmse,held_out_mean_row_spearman,held_out_top5_overlap,held_out_pair_order_accuracy,held_out_target_geometry_spearman,full_mean_row_spearman,full_top5_overlap
1,2,qr_sentinels,-1,10120,2531,6520,1630,0.6693141367681694,0.8360755963096778,0.722505633551953,0.4577637297510865,0.790361651908664,0.5394585155662627,0.7375907364546095,0.45626234689845907
1,2,qr_sentinels_plus_descriptors,-1,10120,2531,6520,1630,0.7115641952113185,0.7808404763969001,0.7760914837614566,0.5222441722639274,0.8161729039916618,0.8384040258914741,0.7886565471754662,0.5201106282101936
1,2,descriptors_only,-1,10120,2531,6520,1630,0.499246426502599,1.0288445496467031,0.7657697252002906,0.5065191623864085,0.8107784951950671,0.8713504360147856,0.7683491639658114,0.5001975503753457
1,2,random_sentinels,0,10120,2531,6520,1630,0.46760757209649395,1.0618423441956433,0.7136102350280842,0.4731726590280521,0.7919874969228919,0.7780322923362434,0.7050814314256919,0.45760568945080987
1,2,random_sentinels,1,10120,2531,6520,1630,0.6560221210370611,0.8541024257254209,0.7370095420774084,0.4683524298696168,0.7981832925653151,0.7488086699476272,0.7378100943275124,0.4684314500197551
1,2,random_sentinels,2,10120,2531,6520,1630,0.6655574303160494,0.8391418089673469,0.7321769454918398,0.4790201501382853,0.7956092536160351,0.7541441192290764,0.7384097115508378,0.47633346503358354
1,2,random_sentinels,3,10120,2531,6520,1630,0.6811026055379794,0.8265920431266692,0.7287496700410288,0.466772026866851,0.7931085532756627,0.7487603147300486,0.7406688388194084,0.4639273014618728
1,2,random_sentinels,4,10120,2531,6520,1630,0.7003337260472848,0.7949830969889927,0.7303119152652542,0.44053733702094044,0.7944057346711686,0.7845867743967773,0.7443230982260569,0.47862504938759387
1,2,random_sentinels,5,10120,2531,6520,1630,0.6451962103432421,0.8766552130051812,0.6900778342843746,0.4407743974713553,0.7754249117097617,0.4503209173353267,0.711632098701119,0.4400632161201106
1,2,random_sentinels,6,10120,2531,6520,1630,0.7169072672027581,0.7692990429395331,0.7581473680135111,0.5127617542473332,0.8104939661555136,0.8603594379439182,0.7640504343641469,0.5148162781509285
1,2,random_sentinels,7,10120,2531,6520,1630,0.6708824411355816,0.8371234362557884,0.7271049037289951,0.453733702094034,0.7930284263634928,0.7065912748913277,0.7325254457887571,0.44954563413670484
1,2,random_sentinels,8,10120,2531,6520,1630,0.646365524605209,0.8678563956702866,0.7253035774941118,0.45017779533781116,0.7918238507671729,0.5548405697267385,0.728828752321072,0.44970367443698134
1,2,random_sentinels,9,10120,2531,6520,1630,0.6835917595178163,0.819296297617176,0.731722198052258,0.46487554326353214,0.7946801193042903,0.7236107322262144,0.7316483133632069,0.45768470960094826
1,5,qr_sentinels,-1,10120,2531,6520,1630,0.7578522568607202,0.7140308986076735,0.7681287683792848,0.5117344922955352,0.814585000852622,0.9018544085078347,0.7956330373329549,0.5116554721453971
1,5,qr_sentinels_plus_descriptors,-1,10120,2531,6520,1630,0.790875436908428,0.6635586517972504,0.8023922204219882,0.544606874753062,0.8309081284587428,0.9060610475704818,0.8276531688915317,0.5432635322007112
1,5,descriptors_only,-1,10120,2531,6520,1630,0.5257007238508882,0.9993164205413152,0.7726074567260415,0.5117344922955354,0.8143611528781683,0.8615431805104101,0.7767708086045703,0.4836033188463058
1,5,random_sentinels,0,10120,2531,6520,1630,0.7487774205037337,0.734876297425719,0.7491642629094818,0.5088897668905571,0.8040216434712841,0.9166679692995483,0.7793449637999166,0.5298301066772027
1,5,random_sentinels,1,10120,2531,6520,1630,0.767389073510214,0.6970818252815719,0.7800572442853347,0.5309363887791387,0.8209444925823088,0.8988524050093069,0.7967219895533274,0.5330699328328724
1,5,random_sentinels,2,10120,2531,6520,1630,0.7041751467122321,0.7911789186651473,0.7581870895300739,0.4970367443698143,0.8078706649917824,0.8852259311047793,0.768179941315584,0.49024101145792176
1,5,random_sentinels,3,10120,2531,6520,1630,0.714483322852296,0.7731016810050436,0.748990846434273,0.48581588305017787,0.803763909963542,0.8859422710465413,0.7698667174339383,0.5117344922955352
1,5,random_sentinels,4,10120,2531,6520,1630,0.6968031603386379,0.8118468829864636,0.7187174435217041,0.47696562623468985,0.7874497327422701,0.8825619829592025,0.7592088816217424,0.47657052548399836
1,5,random_sentinels,5,10120,2531,6520,1630,0.7241354406841602,0.7817039927114726,0.7264928950478772,0.5015408929276965,0.7931790546838697,0.9029696785406817,0.7722379736404833,0.50138285262742
1,5,random_sentinels,6,10120,2531,6520,1630,0.7533047971063968,0.7183174073466088,0.7606092220679566,0.5122086131963651,0.8112477887484427,0.9349701480783905,0.7835231805729087,0.5548004741209008
1,5,random_sentinels,7,10120,2531,6520,1630,0.7400317623193762,0.7458271338608832,0.7476195002949964,0.4927696562623468,0.8035525770975723,0.9328221605282183,0.7777323131826489,0.4948241801659424
1,5,random_sentinels,8,10120,2531,6520,1630,0.7374203942426479,0.7449027805830816,0.7469070382826962,0.46787830896878707,0.8018053179098329,0.8950539570201934,0.7786434139945893,0.5263532200711182
1,5,random_sentinels,9,10120,2531,6520,1630,0.7149674554775514,0.7757204664029229,0.7562286563959637,0.5144211774002371,0.8079647707803405,0.8454027922746891,0.769487767095546,0.5139470564994073
1,10,qr_sentinels,-1,10120,2531,6520,1630,0.8244978825845309,0.6102609057326368,0.7927215976036586,0.5716317661003556,0.8273802355194323,0.9024820636763278,0.8409558714866399,0.5792967206637691
1,10,qr_sentinels_plus_descriptors,-1,10120,2531,6520,1630,0.8501174082110724,0.5639621612141404,0.8187171102189862,0.5977084156459896,0.8415553153428368,0.9237958399147429,0.8666980652903845,0.6089292769656262
1,10,descriptors_only,-1,10120,2531,6520,1630,0.5558345039818817,0.9708380251640297,0.7846322338356546,0.5613591465823785,0.8224013699957995,0.8625228027153922,0.7859008054254855,0.4817068352429869
1,10,random_sentinels,0,10120,2531,6520,1630,0.7559782564788238,0.7333289971860023,0.7646987693868684,0.5524298696167523,0.8123557275432964,0.9555193445867509,0.8179072961500509,0.5623073883840379
1,10,random_sentinels,1,10120,2531,6520,1630,0.7671111714084771,0.7072835743714806,0.773304474041523,0.5067562228368233,0.816781133806222,0.9358739387052135,0.821324849861195,0.543500592651126
1,10,random_sentinels,2,10120,2531,6520,1630,0.8191017430640603,0.6188639216022108,0.8103075842023965,0.5525879099170288,0.8359055097372027,0.9037963972389343,0.8486702904252864,0.567048597392335
1,10,random_sentinels,3,10120,2531,6520,1630,0.783826467767403,0.6917204652757981,0.7586475334639282,0.5515606479652312,0.8104330942489225,0.9517544837410861,0.8186038796685636,0.5544843935203476
1,10,random_sentinels,4,10120,2531,6520,1630,0.7604388809729027,0.7165530808008358,0.7659530414988608,0.5475306203081786,0.8111135367020396,0.9427534941508146,0.8177272694761069,0.5629395495851441
1,10,random_sentinels,5,10120,2531,6520,1630,0.7797975977166727,0.6739175477407284,0.7994730734606137,0.544606874753062,0.8311948173007944,0.9431636711624151,0.8351359436851992,0.6100355590675622
1,10,random_sentinels,6,10120,2531,6520,1630,0.8079053149306337,0.636067383329825,0.7815869459543695,0.5537732121691031,0.8200476592000586,0.9167586025027934,0.8362785210013246,0.5691031212959304
1,10,random_sentinels,7,10120,2531,6520,1630,0.7693092675230162,0.7039418568775054,0.7925387907349458,0.5488739628605294,0.8263088595904123,0.9230585407893342,0.8267697470406047,0.5440537337020941
1,10,random_sentinels,8,10120,2531,6520,1630,0.7620846627944744,0.7125337832396859,0.7452267379417535,0.5115764519952588,0.8041538194054717,0.9459668079460835,0.8113577779604977,0.6062425918609244
1,10,random_sentinels,9,10120,2531,6520,1630,0.8013537028202663,0.6468899391157732,0.7951063128353176,0.5612801264322402,0.8279054447238112,0.9321591011040457,0.8388991420943992,0.5696562623468985
1,15,qr_sentinels,-1,10120,2531,6520,1630,0.8571432106930874,0.5499179900625153,0.7929645877641102,0.6153299091268274,0.8278403116981462,0.9035004552245932,0.8688267083479655,0.642670881074674
1,15,qr_sentinels_plus_descriptors,-1,10120,2531,6520,1630,0.8820876963918363,0.499605311548061,0.8174101973387502,0.645989727380482,0.8409081424830201,0.9087382949451915,0.8934952703793998,0.6692216515211378
1,15,descriptors_only,-1,10120,2531,6520,1630,0.599062519917714,0.9212676325785369,0.780953313370186,0.6067167127617542,0.8212254793692346,0.8144928627687249,0.8023472058202675,0.5224812327143421
1,15,random_sentinels,0,10120,2531,6520,1630,0.814819087806407,0.6378419961346357,0.7998471963340418,0.5989727380482023,0.8330692151541094,0.9550032791412102,0.8707673556789715,0.6102726195179771
1,15,random_sentinels,1,10120,2531,6520,1630,0.8152185811319393,0.6149294619392812,0.8059739186718404,0.5540892927696563,0.8356845968864701,0.9295614468028262,0.8742286775342676,0.6418806795732912
1,15,random_sentinels,2,10120,2531,6520,1630,0.7840351613936607,0.6799479248132684,0.779973157896784,0.5328328723824575,0.821367082765259,0.947716816682334,0.8570692134571455,0.6273409719478467
1,15,random_sentinels,3,10120,2531,6520,1630,0.809134099279098,0.6284749785495426,0.8251269336811473,0.5839589095219281,0.8457623372468438,0.9315161108264557,0.8771689166119239,0.6280521532990913
1,15,random_sentinels,4,10120,2531,6520,1630,0.8011349320065547,0.6417629588631311,0.8206883639324847,0.5928881864875543,0.8440731017770597,0.9306269099372548,0.8738942551627904,0.6713551955748716
1,15,random_sentinels,5,10120,2531,6520,1630,0.7786175254278747,0.6930031441969685,0.7854164306263139,0.6125642038719873,0.82590415003272,0.9567644671092946,0.8564899438167588,0.6519952587909916
1,15,random_sentinels,6,10120,2531,6520,1630,0.8434931550829068,0.5698657188901277,0.7573753138922777,0.5318056104306598,0.8072413814214608,0.932940732940733,0.8677723233543791,0.6562623468984591
1,15,random_sentinels,7,10120,2531,6520,1630,0.8072924898869759,0.6268479546887195,0.8298413907401601,0.6214934808376136,0.8470552654394419,0.9389609044781458,0.8747041747928869,0.6617147372580007
1,15,random_sentinels,8,10120,2531,6520,1630,0.817774113946635,0.6221950012384442,0.7760878133849353,0.5569340181746345,0.8208766966489155,0.9247826420240214,0.8654468821675991,0.618569735282497
1,15,random_sentinels,9,10120,2531,6520,1630,0.8262147417863872,0.6006442252607507,0.8045154769285939,0.5960489924930857,0.8351472438758989,0.9478764030488169,0.8748484714424973,0.6594231529039906
1,20,qr_sentinels,-1,10120,2531,6520,1630,0.8971407978975007,0.45912967587440273,0.7858294499332704,0.630738838403793,0.8250231855081541,0.8803458854753786,0.9094628850308478,0.7635717107862504
1,20,qr_sentinels_plus_descriptors,-1,10120,2531,6520,1630,0.9041236392817185,0.44327124457754996,0.7959332486888219,0.6429869616752272,0.8307909570495989,0.8883885789300953,0.9156421321208879,0.766258395890952
1,20,descriptors_only,-1,10120,2531,6520,1630,0.6315538486726362,0.8689620319015098,0.7564661887295676,0.5887001185302252,0.8095280394093417,0.7519949772406216,0.8120651377247008,0.6130383247728171
1,20,random_sentinels,0,10120,2531,6520,1630,0.8146769269049385,0.6397673279884123,0.8035176854211292,0.6438561833267483,0.8354214665452185,0.9362337866183417,0.8942388327211654,0.6621888581588306
1,20,random_sentinels,1,10120,2531,6520,1630,0.8295143445745006,0.5914013125295063,0.8375940606401707,0.6505728960885026,0.8540713537136054,0.9546878611891954,0.9054307240965497,0.7146582378506519
1,20,random_sentinels,2,10120,2531,6520,1630,0.7948186309635599,0.6634488939890025,0.7755589966013186,0.5529830106677203,0.8216662721823024,0.9509025270758124,0.8825858106151365,0.6493085736862899
1,20,random_sentinels,3,10120,2531,6520,1630,0.8225570262195265,0.6228788380427331,0.8312422867723053,0.6390359541683128,0.8542527896811094,0.9558311097159004,0.9020716894245795,0.6830501777953378
1,20,random_sentinels,4,10120,2531,6520,1630,0.7934497850098203,0.6888198264870355,0.764746734727391,0.5812722244172264,0.8175114437551924,0.9588596053138513,0.8862657202872702,0.6348478862109836
1,20,random_sentinels,5,10120,2531,6520,1630,0.8242511106047098,0.6188516772746604,0.788593239734277,0.6461477676807585,0.8268768878732216,0.926336667570383,0.8938309222857193,0.686685104701699
1,20,random_sentinels,6,10120,2531,6520,1630,0.8069337381239485,0.6347208845642384,0.7984456653983022,0.6131963650730936,0.8314290778398876,0.954812288637434,0.8927996029129459,0.6930067167127617
1,20,random_sentinels,7,10120,2531,6520,1630,0.7903975915812231,0.6668817817573786,0.8009573996310695,0.5985776372975109,0.8363311063030505,0.9503528773847406,0.8912271003765015,0.6747530620308179
1,20,random_sentinels,8,10120,2531,6520,1630,0.7971094105736318,0.6607443001015116,0.7925009454462457,0.5931252469379692,0.831128807473722,0.9637938956350509,0.8874334295314684,0.6738838403792967
1,20,random_sentinels,9,10120,2531,6520,1630,0.8309492517395367,0.5862591400074013,0.8258786753890147,0.6238640853417622,0.845926600264182,0.9544224540174941,0.9052678793021365,0.7008297115764519
2,2,qr_sentinels,-1,10121,2530,6521,1629,0.5928009925352025,0.9076551602722559,0.7205344551316621,0.45913043478260873,0.7894010793206033,0.5305996780204292,0.7367129798497266,0.45992094861660077
2,2,qr_sentinels_plus_descriptors,-1,10121,2530,6521,1629,0.664841883618412,0.8234597881299197,0.7779215793238242,0.5215019762845851,0.8164810937319321,0.8843477244000767,0.7908928792584072,0.5192094861660078
2,2,descriptors_only,-1,10121,2530,6521,1629,0.45415067802856846,1.0508819031969265,0.7669226964437643,0.5026086956521739,0.8107399758600686,0.8991429169288572,0.7727107669876789,0.49604743083003955
2,2,random_sentinels,0,10121,2530,6521,1629,0.625443526367634,0.8738842794766741,0.7070565819817439,0.4509881422924901,0.7840852136307441,0.5444249085020393,0.7216236417816101,0.4462450592885375
2,2,random_sentinels,1,10121,2530,6521,1629,0.6150424992159258,0.8820631498013398,0.7206388773325144,0.4584189723320159,0.7910261293008815,0.8334053146745867,0.7237209901887799,0.46181818181818174
2,2,random_sentinels,2,10121,2530,6521,1629,0.6550469260450044,0.8310624389933378,0.7526980030731256,0.5,0.8079507722127417,0.8646464513530908,0.758983067451322,0.5028458498023716
2,2,random_sentinels,3,10121,2530,6521,1629,0.6785604641646918,0.8080047766252036,0.757858495558582,0.49478260869565216,0.808374287661804,0.8756292523497496,0.7631806860325306,0.4920158102766799
2,2,random_sentinels,4,10121,2530,6521,1629,0.5168983213055102,0.9961210623008631,0.7085124364935385,0.4485375494071146,0.783764359228041,0.5470487242739245,0.7288038324763302,0.4487747035573123
2,2,random_sentinels,5,10121,2530,6521,1629,0.6335410659537808,0.8628770679474653,0.7292669172228811,0.464901185770751,0.7944627204223602,0.8530026578449104,0.7304406740227786,0.4627667984189724
2,2,random_sentinels,6,10121,2530,6521,1629,0.6510993264564904,0.8398633257177505,0.7512386959086792,0.4876679841897234,0.804760976037759,0.8911727663113788,0.7569977545821386,0.49098814229249016
2,2,random_sentinels,7,10121,2530,6521,1629,0.6503029472109098,0.8462889869318143,0.728637522456707,0.44363636363636366,0.7932768974872748,0.6327628407825499,0.7320703038376183,0.44284584980237157
