fold,selection_rank,target_index,target
1,1,23,6kux
1,2,14,4mqs
1,3,38,8st0
1,4,34,8e9y
1,5,0,1m2z
1,6,10,3rze
1,7,7,3b66
1,8,33,7ym8
1,9,40,8xvk
1,10,16,5cxv
1,11,41,8yn3
1,12,9,3ln1
1,13,6,2z5x
1,14,19,5u09
1,15,20,5va1
1,16,22,6kpf
1,17,42,9eo4
1,18,26,6x3x
1,19,36,8fhs
1,20,31,7wc9
2,1,15,4n6h
2,2,14,4mqs
2,3,38,8st0
2,4,34,8e9y
2,5,10,3rze
2,6,0,1m2z
2,7,7,3b66
2,8,33,7ym8
2,9,40,8xvk
2,10,41,8yn3
2,11,9,3ln1
2,12,16,5cxv
2,13,6,2z5x
2,14,20,5va1
2,15,19,5u09
2,16,26,6x3x
2,17,42,9eo4
2,18,22,6kpf
2,19,30,7ljd
2,20,31,7wc9
3,1,14,4mqs
3,2,7,3b66
3,3,36,8fhs
3,4,38,8st0
3,5,10,3rze
3,6,0,1m2z
3,7,34,8e9y
3,8,33,7ym8
3,9,16,5cxv
3,10,41,8yn3
3,11,40,8xvk
3,12,9,3ln1
3,13,6,2z5x
3,14,26,6x3x
3,15,42,9eo4
3,16,20,5va1
3,17,22,6kpf
3,18,19,5u09
3,19,30,7ljd
3,20,31,7wc9
4,1,14,4mqs
4,2,7,3b66
4,3,36,8fhs
4,4,38,8st0
4,5,33,7ym8
4,6,10,3rze
4,7,34,8e9y
4,8,0,1m2z
4,9,41,8yn3
4,10,16,5cxv
4,11,9,3ln1
4,12,40,8xvk
4,13,6,2z5x
4,14,26,6x3x
4,15,19,5u09
4,16,20,5va1
4,17,22,6kpf
4,18,42,9eo4
4,19,30,7ljd
4,20,31,7wc9
5,1,23,6kux
5,2,14,4mqs
5,3,38,8st0
5,4,34,8e9y
5,5,0,1m2z
5,6,10,3rze
5,7,7,3b66
5,8,33,7ym8
5,9,40,8xvk
5,10,16,5cxv
5,11,41,8yn3
5,12,9,3ln1
5,13,6,2z5x
5,14,19,5u09
5,15,20,5va1
5,16,26,6x3x
5,17,22,6kpf
5,18,42,9eo4
5,19,36,8fhs
5,20,31,7wc9
