index,k,method,held_out_target_r2,held_out_target_r2,held_out_target_r2,held_out_target_r2,held_out_target_rmse,held_out_target_rmse,held_out_target_rmse,held_out_target_rmse,held_out_mean_row_spearman,held_out_mean_row_spearman,held_out_mean_row_spearman,held_out_mean_row_spearman,held_out_top5_overlap,held_out_top5_overlap,held_out_top5_overlap,held_out_top5_overlap,held_out_pair_order_accuracy,held_out_pair_order_accuracy,held_out_pair_order_accuracy,held_out_pair_order_accuracy,held_out_target_geometry_spearman,held_out_target_geometry_spearman,held_out_target_geometry_spearman,held_out_target_geometry_spearman,full_mean_row_spearman,full_mean_row_spearman,full_mean_row_spearman,full_mean_row_spearman,full_top5_overlap,full_top5_overlap,full_top5_overlap,full_top5_overlap
,,,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
0,2,descriptors_only,0.4928571910924406,0.028073978732797503,0.45415067802856846,0.5192974989013066,1.001687291591432,0.03909782424374324,0.9536456456258462,1.0508819031969265,0.7724225643803981,0.008676137678591656,0.7657697252002906,0.7841234899093645,0.5032010656788628,0.004081735872818655,0.49715415019762843,0.5074308300395257,0.8139451046810491,0.004025320929086862,0.8107399758600686,0.819211733231416,0.8711076258923015,0.023868452026375126,0.8332311832495423,0.8991429169288572,0.7758628168543453,0.00843551323838149,0.7683491639658114,0.7874749994782924,0.4949011701541206,0.0034175138295164786,0.4912252964426878,0.5001975503753457
1,2,qr_sentinels,0.47341356986161137,0.24356128066805538,0.18552314549752658,0.6848833810064408,0.9958265079362999,0.21238651920670643,0.7886342280124976,1.2413327480754375,0.7249292281131152,0.0052731722846416805,0.7205344551316621,0.732292590726116,0.4626989910095059,0.00821096142199201,0.45375494071146244,0.4718577075098815,0.7924862261196006,0.0029048552045590325,0.7894010793206033,0.7968669978979552,0.5017823597834995,0.05437823673696126,0.43902175815585387,0.5529827667795143,0.7339169948247755,0.008767158125653655,0.7195504918399365,0.7427929782634372,0.4604540504073598,0.003792936497446072,0.45626234689845907,0.4657707509881423
2,2,qr_sentinels_plus_descriptors,0.6582548291216115,0.06241860054988462,0.5800976259468527,0.7240587260428191,0.8186574650145078,0.061282973173743864,0.7379863017603723,0.8928086701497622,0.7838050794022438,0.010443385401509775,0.7746752753997586,0.7956846479954726,0.5226780834646432,0.008487115996371343,0.5100395256916996,0.5333596837944664,0.8205508012784686,0.00574124893125848,0.8161729039916618,0.8269343588763616,0.8760982641191314,0.03211159775994321,0.8384040258914741,0.9171628121303914,0.7938851119147075,0.0071286544929057075,0.786876463454711,0.8024720360165748,0.5198007817685208,0.004632472389552677,0.513596837944664,0.5266403162055336
3,2,random_sentinels,0.6430235989721858,0.07039660966967548,0.28407141405797287,0.7211480277799949,0.8418728496967147,0.07408162663382147,0.7462716507065644,1.1619440820315128,0.7293831641494317,0.017922464419706467,0.6857322908768276,0.7636695610072638,0.4635600776458867,0.021473553348206796,0.4093280632411067,0.5127617542473332,0.7947453288033344,0.008601038760210478,0.775375995098407,0.8133439169248525,0.724250695858278,0.1351240142569871,0.4406610977950435,0.8930369426718063,0.7364484026939894,0.01625548828774664,0.6968838586123541,0.7671566491070176,0.4671537016880016,0.01756407117584277,0.4400632161201106,0.5148162781509285
4,5,descriptors_only,0.5118380926832142,0.030728838710682986,0.4784390299093887,0.545789839582461,0.9814303041630902,0.03519142835244671,0.9434838017291671,1.0221815950838502,0.7727328432832383,0.00322999049850459,0.7694871136972674,0.776515327784341,0.514647293716024,0.009166733199911509,0.5,0.52300395256917,0.8143103171714129,0.0017893261078029078,0.8122197218939884,0.816811941944741,0.8423048815700257,0.03267129981760688,0.78407432498793,0.8615431805104101,0.7816305913861656,0.005634924314775378,0.7767708086045703,0.7912833612035057,0.4894637467732138,0.010486504871515931,0.47786561264822136,0.5021343873517787
5,5,qr_sentinels,0.7475342310343241,0.016038339403565145,0.7244648636883523,0.7654224673669676,0.7057857695864042,0.025396092248921438,0.6794093300312956,0.7440759416904731,0.7745592441872342,0.005008581335938159,0.7681287683792848,0.7804771327236326,0.5230425506330201,0.00911191790353096,0.5117344922955352,0.5330434782608695,0.8169830121958574,0.0018874215693366351,0.814585000852622,0.8194709829889244,0.8900439129833371,0.01898475458539961,0.8599334212045235,0.9081042739434001,0.8056778469837237,0.009329859105770484,0.7956330373329549,0.8168893327525767,0.5263785252591189,0.010892789074751138,0.5116554721453971,0.5371541501976285
6,5,qr_sentinels_plus_descriptors,0.7749813206376298,0.02200178021426434,0.7472107423320973,0.8029578327494233,0.665826919949738,0.03188264219710621,0.6226842592755092,0.7127021614609536,0.799051103898543,0.004490019658169983,0.793933386847912,0.8047545648288935,0.5485419283102961,0.005384548989098282,0.543399209486166,0.5562845849802371,0.8290247821262625,0.0027096079018970234,0.8258947897921459,0.8325315813203363,0.9026161862507445,0.013910118065178938,0.8835245942495199,0.9213499268116947,0.8273146677104656,0.0013255973375439478,0.8256881370881123,0.828941516022245,0.5494115997207747,0.004455337990888881,0.5432635322007112,0.5554150197628459
7,5,random_sentinels,0.7321306913613956,0.021647153290440153,0.686209800440779,0.7838470296706777,0.7325427906848558,0.03515001073191486,0.6483382095871908,0.8118468829864636,0.7600352304729427,0.018674354952941122,0.7124884074809904,0.7948626204335876,0.5087257829007267,0.020254748165579737,0.44545454545454544,0.5486166007905139,0.8098305767258062,0.009614476189795194,0.7863131045606866,0.8294840180420715,0.9021442412763169,0.03142650171176262,0.7674382972297572,0.942887403264762,0.7847383706969133,0.012750736199200141,0.7567719601975696,0.8084564611850397,0.5206629821829862,0.01869854870209911,0.47657052548399836,0.5661660079051383
8,10,descriptors_only,0.5453070051539664,0.03241758454386522,0.5090978995472004,0.5772727425479205,0.9490058513453988,0.04120555830120407,0.8971840334716085,0.9993815838600534,0.7882556559931502,0.007298168892764117,0.7774119182935575,0.7958961025713208,0.5524773629133136,0.01096823237446144,0.5343083003952569,0.5613591465823785,0.824210998225454,0.003593046260074657,0.8187942384685273,0.8275729381613636,0.8347197203048156,0.0366474477800001,0.7794316788507704,0.8691200938479565,0.793141926942661,0.005682843354777954,0.7859008054254855,0.8018322064460972,0.4843255567719176,0.005040995424231765,0.478102766798419,0.4911462450592886
