panel,analysis_role,metric,sequence_identity,equal_rank_sequence_plus_Vina,fusion_minus_sequence,observed_fusion_improves_sequence,target_label_qap_p_aligned_Vina_at_least_observed_delta,target_label_qap_p_positive_increment,null_interval_95_low,null_interval_95_high,permutations,seed,holm_p_across_9_locked_panel_metric_tests
PKIS1,post_hoc_discovery,continuous_spearman,0.224017873702146,0.237516074625304,0.0134982009231579,True,0.0658386832263355,0.0658386832263355,-0.145599135370239,0.0587243420872017,50000,20260814,
PKIS1,post_hoc_discovery,roc_auc,0.677285318559557,0.708217913204063,0.030932594644506,True,0.0484790304193916,0.0484790304193916,-0.155894121268082,0.0470914127423823,50000,20260814,
PKIS1,post_hoc_discovery,average_precision,0.317819167357212,0.277711218373239,-0.0401079489839727,False,0.0441591168176636,1,-0.20251889871812,-0.0199351363201764,50000,20260814,
DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.260582329950544,0.337197645101681,0.0766153151511361,True,0.0117397652046959,0.0117397652046959,-0.158696819908713,0.0438035056645496,50000,20260814,0.0768584628307434
DAVIS,locked_no_retuning_evaluation,roc_auc,0.698984302862419,0.771314250538627,0.072329947676208,True,0.00455990880182396,0.00455990880182396,-0.155740227762388,0.0358571868267159,50000,20260814,0.0410391792164157
DAVIS,locked_no_retuning_evaluation,average_precision,0.42150390014128,0.404091944957419,-0.0174119551838617,False,0.00771984560308794,1,-0.292747738506024,-0.0614326798877143,50000,20260814,1
PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.271756892468297,0.344650996049566,0.0728941035812687,True,0.0109797804043919,0.0109797804043919,-0.159153698884202,0.0369115504890598,50000,20260814,0.0768584628307434
PKIS2,locked_no_retuning_evaluation,roc_auc,0.672822406894429,0.721144967682364,0.0483225607879347,True,0.0169796604067919,0.0169796604067919,-0.143736534318252,0.0403200984918436,50000,20260814,0.0768584628307434
PKIS2,locked_no_retuning_evaluation,average_precision,0.376580034698274,0.32901673292195,-0.0475633017763244,False,0.0435791284174317,1,-0.251728510141514,-0.0234979734585252,50000,20260814,1
KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.337804383047041,0.4145191627344,0.0767147796873593,True,0.00813983720325594,0.00813983720325594,-0.178489210064572,0.0243990970023979,50000,20260814,0.0651186976260475
KiRHub,locked_no_retuning_evaluation,roc_auc,0.674053554939982,0.751461988304094,0.0774084333641121,True,0.0153596928061439,0.0153596928061439,-0.141582025238535,0.0638658048630347,50000,20260814,0.0768584628307434
KiRHub,locked_no_retuning_evaluation,average_precision,0.345211922968882,0.327112251053076,-0.0180996719158067,False,0.0189996200075998,1,-0.226456935431378,-0.0281890328713886,50000,20260814,1
