panel,analysis_role,predictor,target_pairs,positive_pairs,continuous_spearman,roc_auc,average_precision
PKIS1,post_hoc_discovery,receptor_domain_sequence_identity,190,19,0.224017873702146,0.677285318559557,0.317819167357212
PKIS1,post_hoc_discovery,klifs_pocket_identity,190,19,0.0549305601434048,0.677131425053863,0.305507575219544
PKIS1,post_hoc_discovery,centered_Vina_target_geometry,190,19,0.173642658128742,0.663588796552785,0.300109887900361
PKIS1,post_hoc_discovery,equal_rank_sequence_plus_Vina,190,19,0.237516074625304,0.708217913204063,0.277711218373239
PKIS1,post_hoc_discovery,equal_rank_sequence_plus_pocket,190,19,0.144916797756941,0.692674669128963,0.31884475465917
PKIS1,post_hoc_discovery,equal_rank_sequence_plus_pocket_plus_Vina,190,19,0.192891416081738,0.715450907971684,0.278477899275934
DAVIS,locked_no_retuning_evaluation,receptor_domain_sequence_identity,190,19,0.260582329950544,0.698984302862419,0.42150390014128
DAVIS,locked_no_retuning_evaluation,klifs_pocket_identity,190,19,0.116824099644216,0.693444136657433,0.472963585801256
DAVIS,locked_no_retuning_evaluation,centered_Vina_target_geometry,190,19,0.279799848661794,0.755001538935057,0.340401703624513
DAVIS,locked_no_retuning_evaluation,equal_rank_sequence_plus_Vina,190,19,0.337197645101681,0.771314250538627,0.404091944957419
DAVIS,locked_no_retuning_evaluation,equal_rank_sequence_plus_pocket,190,19,0.185388560081667,0.701600492459218,0.437294543261639
DAVIS,locked_no_retuning_evaluation,equal_rank_sequence_plus_pocket_plus_Vina,190,19,0.288444395855761,0.761465066174207,0.404784297632468
PKIS2,locked_no_retuning_evaluation,receptor_domain_sequence_identity,190,19,0.271756892468297,0.672822406894429,0.376580034698274
PKIS2,locked_no_retuning_evaluation,klifs_pocket_identity,190,19,0.132569270417277,0.694983071714374,0.445581462443139
PKIS2,locked_no_retuning_evaluation,centered_Vina_target_geometry,190,19,0.287170806597646,0.713142505386273,0.294867041452308
PKIS2,locked_no_retuning_evaluation,equal_rank_sequence_plus_Vina,190,19,0.344650996049566,0.721144967682364,0.32901673292195
PKIS2,locked_no_retuning_evaluation,equal_rank_sequence_plus_pocket,190,19,0.198957587952556,0.676669744536781,0.412512754702341
PKIS2,locked_no_retuning_evaluation,equal_rank_sequence_plus_pocket_plus_Vina,190,19,0.298962055779619,0.726069559864574,0.368668487847079
KiRHub,locked_no_retuning_evaluation,receptor_domain_sequence_identity,190,19,0.337804383047041,0.674053554939982,0.345211922968882
KiRHub,locked_no_retuning_evaluation,klifs_pocket_identity,190,19,0.20476875581916,0.605878731917513,0.348093354519494
KiRHub,locked_no_retuning_evaluation,centered_Vina_target_geometry,190,19,0.321588438810814,0.743613419513697,0.289484694181368
KiRHub,locked_no_retuning_evaluation,equal_rank_sequence_plus_Vina,190,19,0.4145191627344,0.751461988304094,0.327112251053076
KiRHub,locked_no_retuning_evaluation,equal_rank_sequence_plus_pocket,190,19,0.272893961983361,0.644659895352416,0.348883369980575
KiRHub,locked_no_retuning_evaluation,equal_rank_sequence_plus_pocket_plus_Vina,190,19,0.383038600342704,0.712526931363496,0.313708584944616
