dropped_target,panel,analysis_role,remaining_targets,sequence_continuous_spearman,Vina_continuous_spearman,fusion_continuous_spearman,fusion_minus_sequence_continuous_spearman,fusion_minus_Vina_continuous_spearman
ABL1,PKIS1,post_hoc_discovery,19,0.1718308439454,0.107427940576475,0.15496837607657,-0.0168624678688299,0.0475404355000948
ABL1,DAVIS,locked_no_retuning_evaluation,19,0.222695020143354,0.25141238870089,0.289395666063261,0.0667006459199067,0.0379832773623707
ABL1,PKIS2,locked_no_retuning_evaluation,19,0.223239817746249,0.229363765089879,0.275002385315349,0.0517625675691004,0.0456386202254696
ABL1,KiRHub,locked_no_retuning_evaluation,19,0.284654347522715,0.2734298125615,0.351258932349372,0.066604584826657,0.0778291197878729
AKT1,PKIS1,post_hoc_discovery,19,0.199424363569269,0.131161350709194,0.196447879401173,-0.00297648416809637,0.0652865286919782
AKT1,DAVIS,locked_no_retuning_evaluation,19,0.237758125900005,0.239390884872921,0.301282243862031,0.0635241179620267,0.0618913589891102
AKT1,PKIS2,locked_no_retuning_evaluation,19,0.252471234678754,0.246470828233374,0.309722130825632,0.0572508961468783,0.0632513025922582
AKT1,KiRHub,locked_no_retuning_evaluation,19,0.321486406784799,0.280963352293182,0.379924517768709,0.0584381109839102,0.0989611654755273
AKT2,PKIS1,post_hoc_discovery,19,0.207728685995128,0.159197926416589,0.218262154178356,0.010533468183228,0.059064227761767
AKT2,DAVIS,locked_no_retuning_evaluation,19,0.236527359281152,0.274874601003192,0.318515478567368,0.0819881192862163,0.0436408775641761
AKT2,PKIS2,locked_no_retuning_evaluation,19,0.254022082304484,0.27827537379701,0.327383631102408,0.0733615487979237,0.0491082573053979
AKT2,KiRHub,locked_no_retuning_evaluation,19,0.325492567834811,0.312765497876017,0.40076849334534,0.0752759255105291,0.0880029954693228
CDK2,PKIS1,post_hoc_discovery,19,0.230965245174813,0.201259989920081,0.263604181087891,0.0326389359130772,0.06234419116781
CDK2,DAVIS,locked_no_retuning_evaluation,19,0.271204643978001,0.244229246166031,0.320549375590238,0.0493447316122377,0.0763201294242076
CDK2,PKIS2,locked_no_retuning_evaluation,19,0.288083759582498,0.269445844433245,0.34240078744393,0.0543170278614318,0.0729549430106858
CDK2,KiRHub,locked_no_retuning_evaluation,19,0.361288193560658,0.285734514123887,0.407052597736514,0.045764404175856,0.121318083612627
CSF1R,PKIS1,post_hoc_discovery,19,0.180955386650356,0.167854657162743,0.206062446240145,0.0251070595897893,0.0382077890774025
CSF1R,DAVIS,locked_no_retuning_evaluation,19,0.208280433630172,0.302068783449732,0.320030769043602,0.111750335413431,0.0179619855938698
