endpoint,omitted_target,representation,pairs,spearman,minus_standard_centered
floor_at_bound,ADORA2A,raw,48,0.22405557967868,-0.31068171949630913
floor_at_bound,ADORA2A,standard_centered,48,0.5347372991749891,0.0
floor_at_bound,ADORA2A,within_ligand_ordinal,48,0.3399913156752063,-0.19474598349978284
floor_at_bound,ADORA2A,ligand_efficiency_raw,48,0.3926400347372992,-0.14209726443768994
floor_at_bound,ADORA2A,ligand_efficiency_centered,48,0.5829353017802866,0.048198002605297496
floor_at_bound,ADRB1,raw,48,0.0737082066869301,-0.20581849761181067
floor_at_bound,ADRB1,standard_centered,48,0.27952670429874077,0.0
floor_at_bound,ADRB1,within_ligand_ordinal,48,0.3084020842379505,0.028875379939209744
floor_at_bound,ADRB1,ligand_efficiency_raw,48,0.21135475466782458,-0.06817194963091619
floor_at_bound,ADRB1,ligand_efficiency_centered,48,0.3618106817194963,0.08228397742075555
floor_at_bound,ADRB2,raw,49,0.08020408163265307,-0.23367346938775502
floor_at_bound,ADRB2,standard_centered,49,0.3138775510204081,0.0
floor_at_bound,ADRB2,within_ligand_ordinal,49,0.30857142857142855,-0.0053061224489795444
floor_at_bound,ADRB2,ligand_efficiency_raw,49,0.25285714285714284,-0.06102040816326526
floor_at_bound,ADRB2,ligand_efficiency_centered,49,0.3779591836734693,0.06408163265306122
floor_at_bound,AR,raw,49,0.12928571428571428,-0.17214285714285715
floor_at_bound,AR,standard_centered,49,0.30142857142857143,0.0
floor_at_bound,AR,within_ligand_ordinal,49,0.36540816326530606,0.06397959183673463
floor_at_bound,AR,ligand_efficiency_raw,49,0.2828571428571428,-0.018571428571428628
floor_at_bound,AR,ligand_efficiency_centered,49,0.40918367346938767,0.10775510204081623
floor_at_bound,DRD2,raw,48,0.16923577941815024,-0.16098567086409035
floor_at_bound,DRD2,standard_centered,48,0.3302214502822406,0.0
floor_at_bound,DRD2,within_ligand_ordinal,48,0.314915327833261,-0.015306122448979609
floor_at_bound,DRD2,ligand_efficiency_raw,48,0.18323925314806774,-0.14698219713417285
floor_at_bound,DRD2,ligand_efficiency_centered,48,0.39361702127659576,0.06339557099435517
floor_at_bound,EGFR,raw,55,0.14978354978354982,-0.23434343434343433
floor_at_bound,EGFR,standard_centered,55,0.38412698412698415,0.0
floor_at_bound,EGFR,within_ligand_ordinal,55,0.38888888888888895,0.0047619047619048005
floor_at_bound,EGFR,ligand_efficiency_raw,55,0.29300144300144304,-0.09112554112554111
floor_at_bound,EGFR,ligand_efficiency_centered,55,0.47150072150072153,0.08737373737373738
floor_at_bound,ESR1,raw,49,0.21499999999999994,-0.21285714285714283
floor_at_bound,ESR1,standard_centered,49,0.42785714285714277,0.0
floor_at_bound,ESR1,within_ligand_ordinal,49,0.34448979591836726,-0.08336734693877551
floor_at_bound,ESR1,ligand_efficiency_raw,49,0.3230612244897959,-0.10479591836734686
floor_at_bound,ESR1,ligand_efficiency_centered,49,0.4310204081632653,0.0031632653061225424
floor_at_bound,ESR2,raw,49,0.1644897959183673,-0.24030612244897961
floor_at_bound,ESR2,standard_centered,49,0.4047959183673469,0.0
floor_at_bound,ESR2,within_ligand_ordinal,49,0.3447959183673469,-0.06
floor_at_bound,ESR2,ligand_efficiency_raw,49,0.2841836734693877,-0.12061224489795919
floor_at_bound,ESR2,ligand_efficiency_centered,49,0.48020408163265293,0.07540816326530603
floor_at_bound,F2,raw,49,0.20724489795918366,-0.24663265306122445
floor_at_bound,F2,standard_centered,49,0.4538775510204081,0.0
floor_at_bound,F2,within_ligand_ordinal,49,0.5114285714285713,0.057551020408163234
floor_at_bound,F2,ligand_efficiency_raw,49,0.31265306122448977,-0.14122448979591834
floor_at_bound,F2,ligand_efficiency_centered,49,0.519795918367347,0.06591836734693884
floor_at_bound,NR3C1,raw,49,0.20459183673469383,-0.20846938775510204
floor_at_bound,NR3C1,standard_centered,49,0.4130612244897959,0.0
floor_at_bound,NR3C1,within_ligand_ordinal,49,0.46336734693877546,0.050306122448979584
floor_at_bound,NR3C1,ligand_efficiency_raw,49,0.4451020408163265,0.03204081632653061
floor_at_bound,NR3C1,ligand_efficiency_centered,49,0.5539795918367346,0.14091836734693874
floor_at_bound,PGR,raw,49,0.10051020408163265,-0.18704081632653058
floor_at_bound,PGR,standard_centered,49,0.2875510204081632,0.0
floor_at_bound,PGR,within_ligand_ordinal,49,0.298469387755102,0.010918367346938795
floor_at_bound,PGR,ligand_efficiency_raw,49,0.22387755102040813,-0.06367346938775509
floor_at_bound,PGR,ligand_efficiency_centered,49,0.3641836734693877,0.07663265306122446
floor_at_bound,PTGS2,raw,48,0.1141988710377768,-0.22492401215805463
floor_at_bound,PTGS2,standard_centered,48,0.33912288319583145,0.0
floor_at_bound,PTGS2,within_ligand_ordinal,48,0.3897090751194094,0.05058619192357794
floor_at_bound,PTGS2,ligand_efficiency_raw,48,0.213091619626574,-0.12603126356925745
floor_at_bound,PTGS2,ligand_efficiency_centered,48,0.3876465479808945,0.048523664785063036
censor_aware_binary_10uM,ADORA2A,raw,48,0.30297438124185844,-0.11419887103777687
censor_aware_binary_10uM,ADORA2A,standard_centered,48,0.4171732522796353,0.0
censor_aware_binary_10uM,ADORA2A,within_ligand_ordinal,48,0.25390794615718626,-0.16326530612244905
censor_aware_binary_10uM,ADORA2A,ligand_efficiency_raw,48,0.2629179331306991,-0.1542553191489362
censor_aware_binary_10uM,ADORA2A,ligand_efficiency_centered,48,0.3112244897959183,-0.10594876248371699
censor_aware_binary_10uM,ADRB1,raw,48,0.3191489361702127,-0.04429005644811118
censor_aware_binary_10uM,ADRB1,standard_centered,48,0.3634389926183239,0.0
censor_aware_binary_10uM,ADRB1,within_ligand_ordinal,48,0.2870169344333478,-0.0764220581849761
censor_aware_binary_10uM,ADRB1,ligand_efficiency_raw,48,0.2560790273556231,-0.10735996526270081
censor_aware_binary_10uM,ADRB1,ligand_efficiency_centered,48,0.25510204081632654,-0.10833695180199737
censor_aware_binary_10uM,ADRB2,raw,49,0.28428571428571425,-0.04214285714285715
censor_aware_binary_10uM,ADRB2,standard_centered,49,0.3264285714285714,0.0
censor_aware_binary_10uM,ADRB2,within_ligand_ordinal,49,0.2686734693877551,-0.0577551020408163
censor_aware_binary_10uM,ADRB2,ligand_efficiency_raw,49,0.24591836734693873,-0.08051020408163267
censor_aware_binary_10uM,ADRB2,ligand_efficiency_centered,49,0.21887755102040815,-0.10755102040816325
censor_aware_binary_10uM,AR,raw,49,0.24285714285714283,-0.03153061224489795
censor_aware_binary_10uM,AR,standard_centered,49,0.2743877551020408,0.0
censor_aware_binary_10uM,AR,within_ligand_ordinal,49,0.22234693877551018,-0.0520408163265306
censor_aware_binary_10uM,AR,ligand_efficiency_raw,49,0.2290816326530612,-0.04530612244897958
censor_aware_binary_10uM,AR,ligand_efficiency_centered,49,0.186734693877551,-0.08765306122448976
censor_aware_binary_10uM,DRD2,raw,48,0.4927268779852366,0.04917498914459395
censor_aware_binary_10uM,DRD2,standard_centered,48,0.44355188884064267,0.0
censor_aware_binary_10uM,DRD2,within_ligand_ordinal,48,0.34161962657403383,-0.10193226226660884
censor_aware_binary_10uM,DRD2,ligand_efficiency_raw,48,0.29255319148936165,-0.15099869735128102
censor_aware_binary_10uM,DRD2,ligand_efficiency_centered,48,0.3026487190620929,-0.14090316977854977
censor_aware_binary_10uM,EGFR,raw,55,0.4743145743145744,-0.010173160173160167
censor_aware_binary_10uM,EGFR,standard_centered,55,0.4844877344877346,0.0
censor_aware_binary_10uM,EGFR,within_ligand_ordinal,55,0.35266955266955274,-0.13181818181818183
censor_aware_binary_10uM,EGFR,ligand_efficiency_raw,55,0.38982683982683985,-0.09466089466089472
censor_aware_binary_10uM,EGFR,ligand_efficiency_centered,55,0.36392496392496404,-0.12056277056277054
censor_aware_binary_10uM,ESR1,raw,49,0.3264285714285714,-0.0730612244897959
censor_aware_binary_10uM,ESR1,standard_centered,49,0.3994897959183673,0.0
censor_aware_binary_10uM,ESR1,within_ligand_ordinal,49,0.2545918367346938,-0.14489795918367349
censor_aware_binary_10uM,ESR1,ligand_efficiency_raw,49,0.2866326530612245,-0.11285714285714282
censor_aware_binary_10uM,ESR1,ligand_efficiency_centered,49,0.29183673469387755,-0.10765306122448975
censor_aware_binary_10uM,ESR2,raw,49,0.37918367346938764,-0.04826530612244906
censor_aware_binary_10uM,ESR2,standard_centered,49,0.4274489795918367,0.0
censor_aware_binary_10uM,ESR2,within_ligand_ordinal,49,0.256530612244898,-0.17091836734693872
censor_aware_binary_10uM,ESR2,ligand_efficiency_raw,49,0.29387755102040813,-0.13357142857142856
censor_aware_binary_10uM,ESR2,ligand_efficiency_centered,49,0.2801020408163265,-0.1473469387755102
censor_aware_binary_10uM,F2,raw,49,0.3435714285714285,-0.07571428571428568
censor_aware_binary_10uM,F2,standard_centered,49,0.4192857142857142,0.0
censor_aware_binary_10uM,F2,within_ligand_ordinal,49,0.3060204081632653,-0.1132653061224489
censor_aware_binary_10uM,F2,ligand_efficiency_raw,49,0.2840816326530612,-0.13520408163265302
censor_aware_binary_10uM,F2,ligand_efficiency_centered,49,0.34367346938775506,-0.07561224489795915
censor_aware_binary_10uM,NR3C1,raw,49,0.4114285714285714,0.013877551020408219
censor_aware_binary_10uM,NR3C1,standard_centered,49,0.3975510204081632,0.0
censor_aware_binary_10uM,NR3C1,within_ligand_ordinal,49,0.3783673469387755,-0.019183673469387708
censor_aware_binary_10uM,NR3C1,ligand_efficiency_raw,49,0.4329591836734693,0.0354081632653061
censor_aware_binary_10uM,NR3C1,ligand_efficiency_centered,49,0.3686734693877551,-0.02887755102040812
censor_aware_binary_10uM,PGR,raw,49,0.22744897959183671,-0.04306122448979591
censor_aware_binary_10uM,PGR,standard_centered,49,0.2705102040816326,0.0
censor_aware_binary_10uM,PGR,within_ligand_ordinal,49,0.1574489795918367,-0.11306122448979591
censor_aware_binary_10uM,PGR,ligand_efficiency_raw,49,0.25265306122448977,-0.01785714285714285
censor_aware_binary_10uM,PGR,ligand_efficiency_centered,49,0.1761224489795918,-0.09438775510204081
censor_aware_binary_10uM,PTGS2,raw,48,0.3431393834129396,-0.08130699088145904
censor_aware_binary_10uM,PTGS2,standard_centered,48,0.42444637429439863,0.0
censor_aware_binary_10uM,PTGS2,within_ligand_ordinal,48,0.35974815458098125,-0.06469821971341738
censor_aware_binary_10uM,PTGS2,ligand_efficiency_raw,48,0.27138514980460265,-0.15306122448979598
censor_aware_binary_10uM,PTGS2,ligand_efficiency_centered,48,0.2669344333478072,-0.15751194094659143
censor_aware_binary_30uM,ADORA2A,raw,48,0.1474164133738602,-0.40240990013026484
censor_aware_binary_30uM,ADORA2A,standard_centered,48,0.549826313504125,0.0
censor_aware_binary_30uM,ADORA2A,within_ligand_ordinal,48,0.34064264003473727,-0.20918367346938777
censor_aware_binary_30uM,ADORA2A,ligand_efficiency_raw,48,0.2888623534520191,-0.2609639600521059
censor_aware_binary_30uM,ADORA2A,ligand_efficiency_centered,48,0.5314806773773338,-0.018345636126791187
censor_aware_binary_30uM,ADRB1,raw,48,0.16055145462440296,-0.25607902735562316
censor_aware_binary_30uM,ADRB1,standard_centered,48,0.4166304819800261,0.0
censor_aware_binary_30uM,ADRB1,within_ligand_ordinal,48,0.35822839774207554,-0.05840208423795057
censor_aware_binary_30uM,ADRB1,ligand_efficiency_raw,48,0.23002605297438122,-0.1866044290056449
censor_aware_binary_30uM,ADRB1,ligand_efficiency_centered,48,0.395462440295267,-0.02116804168475911
censor_aware_binary_30uM,ADRB2,raw,49,0.15040816326530612,-0.24908163265306119
