endpoint,representation,contrast,observed,p_positive,permutations
floor_at_bound,raw,alignment,0.14880187025131505,0.1728827117288271,10000
floor_at_bound,raw,minus_standard_centered,-0.18421975452951492,0.9542045795420458,10000
floor_at_bound,standard_centered,alignment,0.33302162478083,0.022097790220977902,10000
floor_at_bound,within_ligand_ordinal,alignment,0.3662770309760375,0.007899210078992101,10000
floor_at_bound,within_ligand_ordinal,minus_standard_centered,0.033255406195207504,0.3106689331066893,10000
floor_at_bound,ligand_efficiency_raw,alignment,0.2848626534190532,0.033896610338966106,10000
floor_at_bound,ligand_efficiency_raw,minus_standard_centered,-0.04815897136177677,0.6961303869613039,10000
floor_at_bound,ligand_efficiency_centered,alignment,0.44938632378725896,0.0016998300169983002,10000
floor_at_bound,ligand_efficiency_centered,minus_standard_centered,0.11636469900642898,0.05629437056294371,10000
censor_aware_binary_10uM,raw,alignment,0.34792518994739924,0.05019498050194981,10000
censor_aware_binary_10uM,raw,minus_standard_centered,-0.046873173582700156,0.6527347265273473,10000
censor_aware_binary_10uM,standard_centered,alignment,0.3947983635300994,0.005099490050994901,10000
censor_aware_binary_10uM,within_ligand_ordinal,alignment,0.2876680303915839,0.0156984301569843,10000
censor_aware_binary_10uM,within_ligand_ordinal,minus_standard_centered,-0.1071303331385155,0.9287071292870713,10000
censor_aware_binary_10uM,ligand_efficiency_raw,alignment,0.2932787843366453,0.03899610038996101,10000
censor_aware_binary_10uM,ligand_efficiency_raw,minus_standard_centered,-0.10151957919345411,0.8253174682531746,10000
censor_aware_binary_10uM,ligand_efficiency_centered,alignment,0.28275862068965524,0.013898610138986101,10000
censor_aware_binary_10uM,ligand_efficiency_centered,minus_standard_centered,-0.11203974284044416,0.9182081791820818,10000
censor_aware_binary_30uM,raw,alignment,0.18036236119228521,0.1498850114988501,10000
censor_aware_binary_30uM,raw,minus_standard_centered,-0.22881355932203395,0.9803019698030196,10000
censor_aware_binary_30uM,standard_centered,alignment,0.40917592051431917,0.011898810118988102,10000
censor_aware_binary_30uM,within_ligand_ordinal,alignment,0.3632963179427236,0.009499050094990502,10000
censor_aware_binary_30uM,within_ligand_ordinal,minus_standard_centered,-0.04587960257159557,0.7607239276072393,10000
censor_aware_binary_30uM,ligand_efficiency_raw,alignment,0.2642314436002338,0.05599440055994401,10000
censor_aware_binary_30uM,ligand_efficiency_raw,minus_standard_centered,-0.14494447691408535,0.9359064093590641,10000
censor_aware_binary_30uM,ligand_efficiency_centered,alignment,0.4445353594389247,0.0016998300169983002,10000
censor_aware_binary_30uM,ligand_efficiency_centered,minus_standard_centered,0.035359438924605524,0.32656734326567344,10000
