panel,series,display_label,n_paired_replicates,x_metric,x_q025,x_median,x_q975,y_metric,y_q025,y_median,y_q975,null_p_q025,null_p_median,null_p_q975,paired_difference_metric,paired_difference_q025,paired_difference_median,paired_difference_q975,maximum_absolute_observable_difference
a,good_correlated_interactions,"Informative, correlated",160,expansion_log2,1.73666850835,1.80573260376,1.91150809389,preference_accuracy,0.914947916667,0.924320175439,0.931469572368,0.025,0.025,0.025,,,,,
b,good_correlated_interactions,"Informative, correlated",160,residual_seed_spearman,0.933141158248,0.935897308251,0.938881423726,residual_pr_null_ratio,0.20392920402,0.212927830936,0.228111280012,0.025,0.025,0.025,,,,,
a,generic_ligand_effect_independent_noise,Independent artifact,160,expansion_log2,4.03496452303,4.05351784654,4.07375825384,preference_accuracy,0.492969572368,0.500581140351,0.506562225877,0.025,0.575,0.975625,,,,,
b,generic_ligand_effect_independent_noise,Independent artifact,160,residual_seed_spearman,0.936908021305,0.938819725003,0.940496643641,residual_pr_null_ratio,0.99219908207,1.00044279055,1.00746467684,0.025,0.575,0.975625,,,,,
a,target_correlated_artifact,Correlated artifact,160,expansion_log2,1.72765060178,1.81859750633,1.90789235903,preference_accuracy,0.48983689693,0.500416666667,0.512943530702,0.025,0.025,0.025,,,,,
b,target_correlated_artifact,Correlated artifact,160,residual_seed_spearman,0.931554399831,0.93602642091,0.938738777969,residual_pr_null_ratio,0.203433742754,0.214667091214,0.228967040239,0.025,0.025,0.025,,,,,
a,shuffled_box_labels,Shuffled target labels,160,expansion_log2,1.73666850835,1.80573260376,1.91150809389,preference_accuracy,0.423523026316,0.481940789474,0.544183388158,0.025,0.025,0.025,,,,,
b,shuffled_box_labels,Shuffled target labels,160,residual_seed_spearman,0.933141158248,0.935897308251,0.938881423726,residual_pr_null_ratio,0.20392920402,0.212927830936,0.228111280012,0.025,0.025,0.025,,,,,
a,seed_unstable_noise,Seed-unstable noise,160,expansion_log2,4.08896238841,4.10269089954,4.11887146228,preference_accuracy,0.492777412281,0.499736842105,0.507614583333,0.049375,0.55,0.975625,,,,,
b,seed_unstable_noise,Seed-unstable noise,160,residual_seed_spearman,-0.0130901738081,-0.000312156151662,0.0123587684491,residual_pr_null_ratio,0.993012141622,1.00036047539,1.00809484691,0.049375,0.55,0.975625,,,,,
a,good_high_dimensional_interactions,"Informative, high-dimensional",160,expansion_log2,4.03080251768,4.05145665172,4.06933659095,preference_accuracy,0.929109100877,0.937050438596,0.942371436404,0.025,0.45,0.975,,,,,
b,good_high_dimensional_interactions,"Informative, high-dimensional",160,residual_seed_spearman,0.936837481188,0.938698894938,0.940813453142,residual_pr_null_ratio,0.991756521296,0.999288553012,1.00624634201,0.025,0.45,0.975,,,,,
c,shuffled_minus_correct_target_labels,Paired target-label permutation,160,good_preference_accuracy,0.914947916667,0.924320175439,0.931469572368,shuffled_preference_accuracy,0.423523026316,0.481940789474,0.544183388158,,,,shuffled_minus_good_preference_accuracy,-0.501350328947,-0.440657894737,-0.379129934211,7.1054273576e-15
