minimum_residual_seed_spearman,maximum_residual_pr_null_ratio,maximum_null_lower_tail_p,regime,pass_rate,is_primary_rule
0.6,0.7,0.05,good_correlated_interactions,1.0,False
0.6,0.7,0.05,generic_ligand_effect_independent_noise,0.0,False
0.6,0.7,0.05,target_correlated_artifact,1.0,False
0.6,0.7,0.05,shuffled_box_labels,1.0,False
0.6,0.7,0.05,seed_unstable_noise,0.0,False
0.6,0.7,0.05,good_high_dimensional_interactions,0.0,False
0.6,0.8,0.05,good_correlated_interactions,1.0,False
0.6,0.8,0.05,generic_ligand_effect_independent_noise,0.0,False
0.6,0.8,0.05,target_correlated_artifact,1.0,False
0.6,0.8,0.05,shuffled_box_labels,1.0,False
0.6,0.8,0.05,seed_unstable_noise,0.0,False
0.6,0.8,0.05,good_high_dimensional_interactions,0.0,False
0.6,0.9,0.05,good_correlated_interactions,1.0,False
0.6,0.9,0.05,generic_ligand_effect_independent_noise,0.0,False
0.6,0.9,0.05,target_correlated_artifact,1.0,False
0.6,0.9,0.05,shuffled_box_labels,1.0,False
0.6,0.9,0.05,seed_unstable_noise,0.0,False
0.6,0.9,0.05,good_high_dimensional_interactions,0.0,False
0.7,0.7,0.05,good_correlated_interactions,1.0,False
0.7,0.7,0.05,generic_ligand_effect_independent_noise,0.0,False
0.7,0.7,0.05,target_correlated_artifact,1.0,False
0.7,0.7,0.05,shuffled_box_labels,1.0,False
0.7,0.7,0.05,seed_unstable_noise,0.0,False
0.7,0.7,0.05,good_high_dimensional_interactions,0.0,False
0.7,0.8,0.05,good_correlated_interactions,1.0,True
0.7,0.8,0.05,generic_ligand_effect_independent_noise,0.0,True
0.7,0.8,0.05,target_correlated_artifact,1.0,True
0.7,0.8,0.05,shuffled_box_labels,1.0,True
0.7,0.8,0.05,seed_unstable_noise,0.0,True
0.7,0.8,0.05,good_high_dimensional_interactions,0.0,True
0.7,0.9,0.05,good_correlated_interactions,1.0,False
0.7,0.9,0.05,generic_ligand_effect_independent_noise,0.0,False
0.7,0.9,0.05,target_correlated_artifact,1.0,False
0.7,0.9,0.05,shuffled_box_labels,1.0,False
0.7,0.9,0.05,seed_unstable_noise,0.0,False
0.7,0.9,0.05,good_high_dimensional_interactions,0.0,False
0.8,0.7,0.05,good_correlated_interactions,1.0,False
0.8,0.7,0.05,generic_ligand_effect_independent_noise,0.0,False
0.8,0.7,0.05,target_correlated_artifact,1.0,False
0.8,0.7,0.05,shuffled_box_labels,1.0,False
0.8,0.7,0.05,seed_unstable_noise,0.0,False
0.8,0.7,0.05,good_high_dimensional_interactions,0.0,False
0.8,0.8,0.05,good_correlated_interactions,1.0,False
0.8,0.8,0.05,generic_ligand_effect_independent_noise,0.0,False
0.8,0.8,0.05,target_correlated_artifact,1.0,False
0.8,0.8,0.05,shuffled_box_labels,1.0,False
0.8,0.8,0.05,seed_unstable_noise,0.0,False
0.8,0.8,0.05,good_high_dimensional_interactions,0.0,False
0.8,0.9,0.05,good_correlated_interactions,1.0,False
0.8,0.9,0.05,generic_ligand_effect_independent_noise,0.0,False
0.8,0.9,0.05,target_correlated_artifact,1.0,False
0.8,0.9,0.05,shuffled_box_labels,1.0,False
0.8,0.9,0.05,seed_unstable_noise,0.0,False
0.8,0.9,0.05,good_high_dimensional_interactions,0.0,False
