target,target_specific_out_of_fold_r2,target_blind_out_of_fold_r2,difference
ABL1,0.165956444584069,-0.020118067808065243,0.18607451239213424
AKT1,0.40514059622250231,0.032312792849274352,0.37282780337322796
AKT2,0.091496292182896344,0.018278086403293647,0.073218205779602696
CDK2,0.023455939667515247,0.008477405647602243,0.014978534019913003
CSF1R,0.1423276280331498,-0.015664282609403335,0.15799191064255313
EGFR,0.048391462718752831,0.0070429017285628115,0.04134856099019002
FGFR1,0.069318615602661615,-0.017531225343974333,0.086849840946635948
IGF1R,0.03415450313772983,-0.012740878501395159,0.046895381639124989
JAK2,0.02918311078798419,-0.0029757997572970041,0.032158910545281194
KDR,0.13148450251556798,-0.024486713147562567,0.15597121566313055
KIT,0.049796082862747726,-0.01349917581948179,0.063295258682229516
LCK,0.1110865227922605,0.015762394592844897,0.095324128199415603
MAP2K1,0.23675727965985405,0.024941687581640615,0.21181559207821343
MAPK1,0.027896585870291757,-0.0083217312929542153,0.036218317163245972
MAPK14,0.065465611971246229,-0.0095727243132066597,0.075038336284452889
MAPKAPK2,0.036464706975399497,0.0045663371677572284,0.031898369807642268
MET,0.095097136446276598,-0.019558499288554243,0.11465563573483084
PLK1,0.048620705433247147,0.010183888002011199,0.038436817431235948
ROCK1,0.25773445726065924,0.030597512390063475,0.22713694487059577
SRC,0.066867861700581344,0.014097444767609879,0.052770416932971465
