target,klifs_kinase_id,klifs_name,uniprot,klifs_group,klifs_family,klifs_subfamily,pocket_length,pocket_sequence_sha256
ABL1,392,ABL1,P00519,TK,Abl,,85,f97d83f33436681bdc694d7695ea2767f4ea317730d4e20820326fb5eb700ebc
AKT1,1,AKT1,P31749,AGC,Akt,,85,1a245af292ac874d6c9520de6b3d89e3872e820f77694aeb177546cfe76c4212
AKT2,2,AKT2,P31751,AGC,Akt,,85,953aff43e8d4d7983b94ebbda2302544f0d87a66ce5975b5dcd6fac30ad158d3
CDK2,198,CDK2,P24941,CMGC,CDK,CDC2,85,5ccf9386c981ef9d43505a624064ef378b78c0496af05f3a27cf6cd221151f32
CSF1R,449,FMS,P07333,TK,PDGFR,,85,bf3ddfd50cb6ec424b3ab9b5669555c41abc22a5614e1c4ab1dfb4bc61af8606
EGFR,406,EGFR,P00533,TK,EGFR,,85,b63267b3a5f90e9fc59f458ee8f45db13074f5655e9ca67778729aa818acc298
FGFR1,428,FGFR1,P11362,TK,FGFR,,85,f00bc1f89f618d52b97fda5d08c72aedb62368ca5cae930368ff135d745f3b29
IGF1R,432,IGF1R,P08069,TK,InsR,,85,6e9a73ae996289a04a2ccbff19a62c9f5fc86a1ef9bf3e8d837bb0d2a237a8e0
JAK2,436,JAK2,O60674,TK,JakA,,85,97a06a5448e2e9764abb025eafaa4cf67076c70969bc76031b55d9cba7d6ed0e
KDR,485,KDR,P35968,TK,VEGFR,,85,c36db99b8e86860563d3312b8728ebd72e5aaf10e66fc1a8f4285d87fc8512ad
KIT,451,KIT,P10721,TK,PDGFR,,85,3987fcf7bf69f4d75bc537878ebc711068c64cd1882a3e28d79d55b236ab4253
LCK,466,LCK,P06239,TK,Src,SrcB,85,d25146f4f0de5cdefa812439e5f557f4cb62769b0f5d74f5d3692f45b6cc839f
MAP2K1,383,MAP2K1,Q02750,STE,STE7,MEK1,85,ccd9b53c37ba9578d0a64f336a1277242ca0c7279fec2a4a309bd8e3d16b7572
MAPK1,239,Erk2,P28482,CMGC,MAPK,ERK1,85,c51c68b3530a9a12a5e8dc37d3501fe21b7809f053ca388f559d56117bf1fd08
MAPK14,249,p38a,Q16539,CMGC,MAPK,p38,85,d264cd739c3eaf25920f8141ba4f703a75d3cfbc31faf1ccb591501dc474028d
MAPKAPK2,150,MAPKAPK2,P49137,CAMK,MAPKAPK,MAPKA,85,33f2f1b8f57d53af3b490ad27ead89efe25e0117cb1419bc358e65bec68c8f55
MET,446,MET,P08581,TK,Met,,85,c2938f97f71df31e07d2a57c86238efee5f57ad6285433ec891d4cdf1fe15264
PLK1,311,PLK1,P53350,Other,PLK,PLK1,85,2b2b897b4bb0a08c76e8d872c07842300043610bdabf52cef4e68ab7b1d154c8
ROCK1,9,ROCK1,Q13464,AGC,DMPK,ROCK,85,be0eef15610aae8c05d26e43165ec322f0e9da5fb08330bbd92557d7193ad9bd
SRC,462,SRC,P12931,TK,Src,SrcA,85,c86c0129e581d8d26bb505fb8a6384216f333e48a54cf706f38f5867836e6a4c
