target,family,raw_molecular_weight_slope_per_100_da,two_way_residual_molecular_weight_slope_per_100_da,conditional_molecular_weight_slope_per_100_da,conditional_rotatable_bond_slope,imputed_cells,imputed_fraction,volume,area,max_depth,avg_depth,hydropathy,R1_count,R2_count,R3_count,R4_count,R5_count,RX_count,total_residues,unique_residues
1m2z,Nuclear receptor,-0.064306351768446929,0.12529614786660481,-0.20829244371021538,0.09518891385644894,411,0.03248755039127342,523.79999999999995,400.60000000000002,14.720000000000001,8.4000000000000004,-0.35999999999999999,8,4,12,1,2,0,27,27
1pbq,Ion channel,-0.37689659864235248,-0.18729409900730074,-0.53225520184717334,0.10270725802671812,0,0,736.34000000000003,474.14999999999998,5.1600000000000001,1.6499999999999999,0.10000000000000001,8,7,11,3,5,0,34,34
1xoq,Enzyme,-0.34428950665604252,-0.15468700702099072,-0.53469612834253244,0.12587743208380733,1,7.9045134771954786e-05,637.41999999999996,466.91000000000003,7.3200000000000003,2.5899999999999999,-0.10000000000000001,7,5,14,5,5,0,36,36
2rh1,Adrenergic GPCR,-0.32286371964274863,-0.133261220007697,-0.46132829367043493,0.09153864954277563,7,0.00055331594340368349,1318.03,947.65999999999997,10.619999999999999,4.1299999999999999,-0.29999999999999999,12,14,18,6,6,0,56,56
2vt4,Adrenergic GPCR,-0.39979436667892543,-0.21019186704387394,-0.5662109407355157,0.11001766016793259,15,0.0011856770215793219,1081.51,698.96000000000004,15.08,4.6500000000000004,-0.17999999999999999,12,9,12,4,2,0,39,39
2ydo,Peptide GPCR,-0.16680346051612199,0.022799039118929623,-0.31234676403814671,0.096218383279296105,2,0.00015809026954390957,535.67999999999995,429.94999999999999,15.84,6.5800000000000001,-0.56999999999999995,12,4,9,1,2,0,28,28
2z5x,Enzyme,-0.060385947147243921,0.129216552487808,-0.12867910019651296,0.045148465208856819,343,0.027112481226780491,459.43000000000001,388.14999999999998,8.3599999999999994,3.71,-0.54000000000000004,15,6,9,0,1,0,31,31
3b66,Nuclear receptor,0.098122646938257216,0.28772514657330883,0.041969953233438669,0.037122432116826989,634,0.050114615445419335,469.14999999999998,423.30000000000001,0,0,-0.56000000000000005,11,5,11,0,2,0,29,29
3kk6,Enzyme,-0.27095243606044656,-0.081349936425394842,-0.42956366560612402,0.10485756271511981,10,0.00079045134771954788,1190.8099999999999,1010.9,14.359999999999999,6.21,-0.34000000000000002,31,10,13,2,7,0,63,63
3ln1,Enzyme,0.093887532475234667,0.28349003211028628,-0.046125639468395541,0.092562424489584808,451,0.035649355782151608,683.63999999999999,679.30999999999995,18.649999999999999,7.0099999999999998,-0.34999999999999998,22,12,7,1,3,0,45,45
3rze,Histamine GPCR,0.1848747820570803,0.37447728169213196,0.12792426892070508,0.037649868927697276,3,0.00023713540431586437,927.07000000000005,847.94000000000005,13.75,5.5,0.040000000000000001,8,15,10,5,5,0,43,43
4djh,Opioid GPCR,-0.38919705439533897,-0.19959455476028701,-0.52860001545487212,0.092159015309593112,0,0,1143.9400000000001,770.67999999999995,12.949999999999999,4.46,-0.34999999999999998,14,11,10,4,3,0,42,42
4ey7,Enzyme,-0.25382268825859661,-0.064220188623544699,-0.42444758312150777,0.1127997725324744,0,0,601.55999999999995,478.42000000000002,12.369999999999999,5.9800000000000004,-0.28000000000000003,12,11,6,2,2,0,33,33
4iar,Serotonin GPCR,-0.37395768605331214,-0.18435518641826013,-0.54829261644940386,0.11525246951181249,30,0.0023713540431586438,1011.74,653.47000000000003,13.32,4.7599999999999998,-0.41999999999999998,10,10,15,3,1,0,39,39
4mqs,Muscarinic GPCR,0.24685115145540121,0.43645365109045275,0.17622829213192967,0.04668862930981342,3352,0.26495929175559246,245.38,244.69999999999999,8.5299999999999994,3.7400000000000002,-0.20000000000000001,4,9,6,1,0,0,20,20
4n6h,Opioid GPCR,-0.31721533668553425,-0.1276128370504824,-0.51570346657069033,0.13122010079145005,0,0,,,,,,,,,,,,,
5cxv,Muscarinic GPCR,-0.059356929710185573,0.13024556992486608,-0.20436388052500148,0.095863801590504186,62,0.0049007983558611969,432.86000000000001,334.92000000000002,11.08,5.9900000000000002,-0.20999999999999999,5,7,6,1,0,0,19,19
5i71,Transporter,-0.47810006559482493,-0.28849756595977294,-0.65558153194393853,0.11733263805961622,9,0.00071140621294759308,1591.7,1172.8900000000001,16.43,6.79,-0.11,32,10,11,5,3,0,61,61
5tvn,Serotonin GPCR,-0.23639202893787611,-0.046789529302824387,-0.38605946848462547,0.098944841255172361,1,7.9045134771954786e-05,765.72000000000003,591.58000000000004,14.869999999999999,6.1299999999999999,-0.41999999999999998,17,10,10,3,0,0,40,40
5u09,Cannabinoid GPCR,-0.13467642670105795,0.054926072933993854,-0.237125744152614,0.067729036339789009,129,0.010196822385582168,1000.9400000000001,833.80999999999995,16.260000000000002,6.4299999999999997,-0.65000000000000002,16,11,18,5,3,0,53,53
5va1,Ion channel,-0.10344465950136782,0.086157840133684035,-0.27144462868169855,0.11106443947836284,0,0,,,,,,,,,,,,,
6cm4,Dopamine GPCR,-0.20107909466834359,-0.01147659503329194,-0.34575985542422305,0.095648158002973466,17,0.0013437672911232313,563.75999999999999,475.31,14.449999999999999,4.71,-0.45000000000000001,9,11,9,3,1,0,33,33
6kpf,Cannabinoid GPCR,-0.1686543284480452,0.020948171187006624,-0.2716786695673335,0.068109183322286077,223,0.017627065054145918,845.21000000000004,731.84000000000003,9.7699999999999996,4.6699999999999999,-0.55000000000000004,14,11,8,3,5,0,41,41
6kux,Adrenergic GPCR,-0.18087563488284872,0.0087268647522030732,-0.35366251762415768,0.11422905834154173,8,0.00063236107817563828,895.53999999999996,794.88999999999999,13.83,3.75,-0.5,14,14,15,3,0,0,46,46
6lqa,Ion channel,-0.44171965977998046,-0.25211716014492863,-0.62120777994898946,0.11865923283711011,0,0,,,,,,,,,,,,,
6pdj,Enzyme,-0.25444161113104025,-0.064839111495988325,-0.3999273610618006,0.096180334716639074,0,0,543.46000000000004,454.01999999999998,6.6299999999999999,2.2799999999999998,-0.34999999999999998,16,4,6,3,2,0,31,31
6x3x,Ion channel,-0.044288821116305471,0.1453136785187463,-0.2020352664667876,0.10428585563459003,29,0.0022923089083866886,706.32000000000005,568.87,8.1600000000000001,2.27,0.14000000000000001,11,6,17,5,8,0,47,47
6y1z,Serotonin GPCR,-0.13429091783612193,0.055311581798929761,-0.31803156759458895,0.12147057153867398,27,0.0021342186388427793,456.62,326.35000000000002,8.5899999999999999,3.0499999999999998,-0.20000000000000001,5,6,4,2,3,0,20,20
7f8y,Peptide GPCR,-0.37911924079030218,-0.18951674115525033,-0.55883156301088499,0.11880745235946719,20,0.0015809026954390958,1117.1500000000001,784.97000000000003,14.82,5.5800000000000001,0.27000000000000002,15,9,19,2,4,0,49,49
7kwe,Enzyme,-0.3381448984165637,-0.14854239878151221,-0.53509388815491721,0.13020257835667048,2,0.00015809026954390957,,,,,,,,,,,,,
7ljd,Dopamine GPCR,-0.14396167389195788,0.045640825743093978,-0.29797128708837772,0.10181544346344161,88,0.0069559718599320215,748.65999999999997,572.58000000000004,13.32,4.7300000000000004,-0.19,10,9,12,5,2,0,38,38
7wc9,Serotonin GPCR,-0.11401162967270059,0.075590869962351023,-0.21841997313245379,0.06902414446740017,77,0.0060864753774405181,1342.4400000000001,1033.5899999999999,12.01,4.4900000000000002,-0.5,22,11,15,5,2,0,55,55
7xnk,Ion channel,-0.27161564356118428,-0.082013143926132334,-0.4727510716481429,0.13297022427272062,0,0,,,,,,,,,,,,,
7ym8,Adrenergic GPCR,-0.04791298733826399,0.14168951229678789,-0.15156172190859948,0.068521968568573705,259,0.02047268990593629,676.50999999999999,549.70000000000005,15.69,8.1099999999999994,-0.33000000000000002,14,7,11,2,2,0,36,36
8e9y,Muscarinic GPCR,0.15659729141539813,0.34619979105044968,0.063334513096177811,0.061655833919234238,528,0.041735831159592125,656.41999999999996,589.58000000000004,12.43,6.0599999999999996,-0.35999999999999999,8,12,13,2,0,0,35,35
8ef6,Opioid GPCR,-0.41522184817741281,-0.22561934854236085,-0.59918562208173842,0.12161807845974613,0,0,908.5,637.86000000000001,12.710000000000001,3.2400000000000002,-0.32000000000000001,12,9,9,2,4,0,36,36
8fhs,Ion channel,-0.49827183058820501,-0.30866933095315291,-0.70001318481747776,0.13337080081859676,2,0.00015809026954390957,,,,,,,,,,,,,
8pjk,Serotonin GPCR,-0.37678725505324706,-0.18718475541819529,-0.53400854359497441,0.10393867553159934,17,0.0013437672911232313,721.65999999999997,557.03999999999996,11.01,3.4900000000000002,-0.42999999999999999,15,8,11,1,1,0,36,36
8st0,Ion channel,0.20640996647725515,0.39601246611230684,0.16841778709443614,0.025116552867845473,1007,0.079598450715358468,246.88999999999999,245.22999999999999,9.3100000000000005,4.04,-0.25,3,7,6,2,3,0,21,21
8wty,Transporter,-0.34280168599688421,-0.15319918636183238,-0.48678213611158322,0.095185184055996866,24,0.001897083234526915,1237.6800000000001,962.04999999999995,18.52,7.6799999999999997,-0.54000000000000004,26,8,17,4,1,0,56,56
8xvk,Peptide GPCR,-0.18452180714719787,0.0050806924878539399,-0.30561318922974445,0.080053267523057178,1,7.9045134771954786e-05,,,,,,,,,,,,,
8yn3,Histamine GPCR,0.048790342264526353,0.23839284189957796,-0.069712217570234852,0.078341802376591024,237,0.018733696940953285,436.97000000000003,361.44,8.7799999999999994,4,0.23999999999999999,6,6,5,3,4,0,24,24
9eo4,Transporter,-0.11202586482746084,0.077576634807590972,-0.26754786501326472,0.10281527944001878,133,0.010513002924669987,748.87,572.64999999999998,9.7899999999999991,3.7999999999999998,-0.35999999999999999,16,8,8,2,1,0,35,35
V1A,Peptide GPCR,-0.37584200075094337,-0.18623950111589146,-0.5591514949847296,0.12118553549426163,0,0,,,,,,,,,,,,,
